Gene	sgRNA	A375_CP0082_repA|beta	A375_CP0082_repA|z	A375_CP0082_repA|p-value	A375_CP0082_repA|fdr	A375_CP0082_repA|wald-p-value	A375_CP0082_repA|wald-fdr	A375_CP0082_repB|beta	A375_CP0082_repB|z	A375_CP0082_repB|p-value	A375_CP0082_repB|fdr	A375_CP0082_repB|wald-p-value	A375_CP0082_repB|wald-fdr
FHIT	3	-0.24956	-1.3206	0.93539	0.99604	0.18662	0.53669	-0.038816	-0.20546	0.73968	0.9871	0.83721	0.90614
CD58	3	-0.88622	-2.2177	0.34302	0.86553	0.026573	0.19888	-0.72254	-1.8083	0.45495	0.92825	0.07056	0.36638
ZNF669	3	-0.10432	-0.74273	0.84364	0.99296	0.45764	0.66095	0.0557	0.3966	0.57597	0.9604	0.69166	0.81603
ENSG00000273957	3	0.078846	0.3876	0.53275	0.94818	0.69831	0.81848	0.23773	1.1687	0.28937	0.82332	0.24253	0.54863
SRFBP1	4	-2.0293	-3.1478	0.032261	0.30587	0.0016453	0.022611	-2.2596	-3.4836	0.021834	0.25749	0.00049468	0.0083594
TCEANC2	3	-0.61316	-1.652	0.54055	0.95102	0.098534	0.43564	-0.60298	-1.6246	0.55262	0.95777	0.10424	0.44971
PGM2	3	-0.32154	-0.9476	0.83821	0.99246	0.34333	0.59204	-0.19087	-0.56263	0.98169	0.99823	0.57368	0.7392
CSH2	5	-0.046881	-0.16494	0.74828	0.98491	0.86899	0.92619	-0.27343	-0.96177	0.9025	0.99577	0.33617	0.58284
HAUS3	4	-2.7233	-4.2074	0.0075751	0.13644	2.5838e-05	0.00073114	-3.4138	-5.2656	0.0024508	0.091362	1.3971e-07	1.0629e-05
USP9X	3	-0.078926	-0.84417	0.80291	0.99031	0.39857	0.62396	-0.1903	-2.0354	0.98093	0.99823	0.041815	0.26644
XPO6	3	-0.71616	-1.6826	0.46021	0.92678	0.092462	0.4209	-0.7655	-1.7985	0.42536	0.91632	0.072103	0.37039
SLC25A53	2	0.16938	0.47205	0.3841	0.88875	0.63689	0.77883	0.33013	0.92011	0.17641	0.70108	0.35752	0.59539
GOLGA6C	5	-1.587	-3.6134	0.077266	0.48504	0.00030221	0.0055637	-1.454	-3.3119	0.099857	0.53356	0.00092666	0.014205
GOLGA6GP	1	-0.61779	-0.63751	0.53645	0.95035	0.52379	0.70393	-2.0103	-2.0745	0.034489	0.32344	0.03803	0.2508
GOLGA6FP	3	-1.3389	-2.3158	0.13123	0.62199	0.020567	0.16766	-1.3541	-2.3422	0.12606	0.60243	0.019169	0.15586
SLC25A52	3	-0.53619	-1.7	0.60725	0.96962	0.089127	0.41333	-0.31575	-1.0014	0.84498	0.99226	0.31665	0.57508
WBP11	3	-2.3721	-3.5319	0.016532	0.21032	0.00041251	0.0071987	-2.8825	-4.2663	0.0054808	0.11816	1.9873e-05	0.00061094
ZNF765	3	0.27842	1.0726	0.23385	0.77002	0.28343	0.56688	0.25106	0.96721	0.27007	0.8051	0.33344	0.58079
KIAA0753	3	-0.51743	-1.9636	0.62477	0.97221	0.049571	0.29369	-0.39536	-1.5005	0.75354	0.98718	0.1335	0.49575
MRPL45	3	-4.4396	-6.1556	0.0009803	0.080882	7.479e-10	1.5335e-07	-3.7612	-5.2453	0.0017824	0.091362	1.5601e-07	1.1632e-05
OFD1	3	0.033552	0.23114	0.61006	0.9701	0.81721	0.89379	0.0037961	0.026151	0.66638	0.97444	0.97914	0.99003
DEPDC1B	3	0.10711	0.5478	0.48721	0.93651	0.58383	0.74267	0.084985	0.43464	0.52776	0.95224	0.66382	0.79862
SERF1B	4	-1.27	-3.56	0.15279	0.66389	0.00037088	0.0065596	-0.84767	-2.3765	0.36957	0.88473	0.01748	0.1454
SERF1A	4	-1.27	-3.56	0.15279	0.66389	0.00037088	0.0065596	-0.84767	-2.3765	0.36957	0.88473	0.01748	0.1454
LOC124901481	3	-0.15213	-0.40209	0.92109	0.99604	0.68762	0.81078	-0.28406	-0.7507	0.889	0.99542	0.45284	0.65565
MLC1	3	0.37689	1.52	0.13083	0.62111	0.12852	0.48575	0.17611	0.71023	0.3804	0.89243	0.47756	0.67344
KPNA1	3	-0.098049	-0.4479	0.8333	0.99146	0.65422	0.79	-0.39527	-1.8055	0.75372	0.98718	0.070989	0.36725
EP300	3	0.62331	1.1654	0.01671	0.21085	0.24387	0.55363	0.52278	0.97739	0.043178	0.36333	0.32838	0.57908
ADGRL2	3	0.17627	0.79019	0.37483	0.88614	0.42942	0.64436	0.26823	1.2024	0.24655	0.7782	0.2292	0.54594
LOC441239	3	-1.001	-2.3264	0.27359	0.81035	0.019995	0.16437	-0.9119	-2.1194	0.3276	0.853	0.034056	0.23301
LOC124906109	2	0.38795	0.85281	0.12062	0.59792	0.39376	0.62097	0.42777	0.94033	0.090634	0.51234	0.34705	0.58891
SSX5	3	-0.60422	-1.2349	0.54826	0.95304	0.21687	0.54877	-0.66916	-1.3674	0.49733	0.94703	0.1715	0.529
IQCD	3	-0.24265	-0.80198	0.94528	0.99639	0.42256	0.63925	-0.0083138	-0.027481	0.68702	0.97745	0.97808	0.98959
BDP1	3	-1.5085	-1.7258	0.089876	0.51805	0.084377	0.40212	-1.468	-1.6815	0.097629	0.5291	0.092662	0.42422
UROS	3	-0.47898	-1.5044	0.66255	0.97591	0.13247	0.49219	-0.51396	-1.6143	0.63118	0.97281	0.10646	0.45242
ARRDC4	3	-0.22635	-1.5398	0.96859	0.99716	0.12361	0.47981	-0.0036825	-0.025051	0.67922	0.97549	0.98001	0.99025
ABCA5	3	-0.45996	-1.4647	0.68274	0.97778	0.14301	0.50615	-0.40546	-1.2912	0.74316	0.98718	0.19663	0.53965
UBA6	3	-0.81137	-2.0509	0.39283	0.89286	0.040281	0.2591	-0.57559	-1.4573	0.57553	0.96024	0.14503	0.50976
CLEC9A	3	-0.57533	-1.6032	0.57214	0.95825	0.10889	0.45718	0.037532	0.10461	0.60962	0.97032	0.91669	0.95425
SPMIP4	3	-0.12445	-0.33959	0.87768	0.9932	0.73417	0.84139	-0.73455	-2.0032	0.44733	0.92517	0.04516	0.28098
SCO1	3	-2.6551	-4.0633	0.0090901	0.15281	4.8374e-05	0.0012241	-2.5798	-3.9578	0.011719	0.18076	7.5652e-05	0.0018166
FBXL17	3	-0.28133	-0.96932	0.89301	0.99448	0.33239	0.5872	-0.2879	-0.992	0.88294	0.99542	0.3212	0.57718
TRDN	3	-0.02748	-0.24385	0.71509	0.981	0.80735	0.88747	-0.15472	-1.3729	0.92701	0.9968	0.1698	0.52821
MRPS7	3	-2.1567	-3.5695	0.0258	0.27221	0.00035761	0.0063948	-2.9289	-4.8234	0.004857	0.111	1.4111e-06	7.2797e-05
COL4A2	3	-1.1393	-1.5766	0.20479	0.73383	0.11488	0.46729	-1.5295	-2.1091	0.086267	0.49936	0.03494	0.23661
S100A12	3	-0.36231	-1.4603	0.78727	0.9887	0.14422	0.50745	-0.3258	-1.3131	0.83362	0.99107	0.18915	0.53669
CSTPP1	3	-0.2162	-1.7454	0.98316	0.99847	0.080924	0.39258	0.067718	0.54668	0.55663	0.95777	0.5846	0.74685
CDK11B	3	-1.576	-2.3437	0.078781	0.49016	0.019096	0.1594	-1.4876	-2.213	0.093708	0.51975	0.026896	0.19836
OR2A7	3	-0.30952	-0.97005	0.85349	0.99296	0.33202	0.58702	-0.53576	-1.679	0.61198	0.97106	0.093147	0.42523
MIER3	3	-0.19382	-0.73069	0.98445	0.99847	0.46497	0.6655	-0.26954	-1.0161	0.90843	0.99668	0.30956	0.5712
CARD6	3	-0.096734	-0.38178	0.83116	0.99086	0.70262	0.82152	-0.080042	-0.31591	0.80724	0.98895	0.75207	0.854
PFN4	3	0.10175	0.55997	0.49537	0.93651	0.5755	0.73755	0.16932	0.93182	0.39123	0.90088	0.35143	0.59148
ATF7IP	3	0.13391	0.56949	0.44189	0.91994	0.56903	0.73317	0.074153	0.31534	0.5455	0.95734	0.7525	0.8542
TRAPPC12	3	-0.67397	-2.0931	0.49162	0.93651	0.036337	0.2432	-0.52333	-1.6254	0.62289	0.97226	0.10407	0.44971
BCAS1	3	-0.029246	-0.18547	0.71803	0.98101	0.85286	0.91639	0.010307	0.065369	0.65516	0.97289	0.94788	0.97147
RPS6KB1	6	-0.99712	-3.0338	0.27542	0.81275	0.0024147	0.031171	-0.96245	-2.9289	0.2948	0.8286	0.0034016	0.04122
CEP44	3	-0.27998	-1.2149	0.89466	0.99448	0.22442	0.55116	-0.21277	-0.92331	0.98592	0.99901	0.35585	0.59436
ARL2BP	3	-0.27081	-1.2641	0.90776	0.99566	0.20619	0.54479	-0.40727	-1.9009	0.74093	0.98718	0.05731	0.3243
DYRK1A	3	-1.0615	-2.3049	0.24062	0.77536	0.021171	0.17066	-1.0139	-2.202	0.26794	0.80259	0.027666	0.20251
F13B	3	-0.29402	-1.5094	0.87403	0.99296	0.1312	0.49048	-0.047803	-0.24543	0.75466	0.98718	0.80613	0.88682
DNAJB9	3	-0.4167	-1.6159	0.72592	0.98293	0.10612	0.45183	-0.37483	-1.4535	0.77613	0.98728	0.14608	0.51078
APOA5	3	-0.48172	-1.3786	0.65939	0.97563	0.16803	0.52674	-0.60562	-1.733	0.55071	0.95777	0.0831	0.40253
ZNF892	3	0.28375	1.4873	0.22721	0.76093	0.13695	0.49855	0.21181	1.1102	0.32497	0.85169	0.26692	0.5557
NCBP2	3	-3.149	-4.5553	0.0032528	0.090123	5.2318e-06	0.00020314	-2.7827	-4.0635	0.0068621	0.1323	4.834e-05	0.0012659
APIP	3	-0.74694	-1.9038	0.43668	0.91796	0.056937	0.31962	-0.6647	-1.6952	0.50102	0.94724	0.090037	0.41889
WNT8A	3	0.13723	1.0486	0.43632	0.91796	0.29435	0.57081	0.057431	0.43884	0.57343	0.96024	0.66078	0.79658
CCDC60	3	-0.083915	-0.36682	0.81071	0.99031	0.71375	0.8284	-0.1106	-0.48346	0.85794	0.99406	0.62877	0.77682
WDR70	3	-2.9993	-4.1687	0.0043223	0.10115	3.0631e-05	0.00084139	-3.6721	-5.0261	0.0018715	0.091362	5.006e-07	2.9958e-05
SIDT2	3	-0.42744	-1.4366	0.71482	0.981	0.15085	0.51398	-0.50499	-1.6971	0.6396	0.97289	0.089672	0.41883
DLG1	3	-0.011097	-0.039256	0.6863	0.97834	0.96869	0.98468	0.063203	0.22361	0.56399	0.95922	0.82306	0.89657
CEP76	3	0.014259	0.10715	0.64295	0.97552	0.91467	0.95399	0.096659	0.72635	0.50833	0.94822	0.46763	0.66703
CSN3	3	0.43191	1.6237	0.08796	0.51484	0.10443	0.44871	0.21317	0.80139	0.32323	0.85029	0.42291	0.63744
OR10K2	3	-0.22699	-1.2481	0.96814	0.99716	0.212	0.54597	-0.10344	-0.56887	0.8456	0.99231	0.56945	0.73594
TMEM262	6	0.18883	1.1246	0.35621	0.87471	0.26076	0.55802	0.11348	0.67584	0.4816	0.94054	0.49914	0.68718
RPLP1	3	-5.1034	-6.3702	0.00071295	0.080882	1.8874e-10	5.5732e-08	-3.4015	-4.3606	0.0024508	0.091362	1.297e-05	0.00043444
HOXC6	3	-0.072593	-0.40824	0.79226	0.98943	0.6831	0.80834	0.18682	1.0507	0.36289	0.88139	0.29341	0.56449
SPATA6L	3	0.17488	0.71081	0.37666	0.88701	0.4772	0.67464	0.23668	0.96199	0.29093	0.82499	0.33606	0.58274
LOC128092249	3	0.33957	1.0044	0.1663	0.68603	0.3152	0.57949	0.47785	1.4134	0.063809	0.43866	0.15754	0.51979
PCNT	7	-0.055114	-0.2503	0.7617	0.98553	0.80236	0.8841	-0.020821	-0.094571	0.70889	0.9813	0.92466	0.95836
LOC5116	1	0.39907	0.49851	0.11211	0.57762	0.61812	0.76585	0.49777	0.62181	0.053382	0.40309	0.53407	0.71173
LOC124903067	3	0.352	0.87974	0.15573	0.66941	0.379	0.6124	0.44668	1.1164	0.079806	0.48145	0.26425	0.55544
HGSNAT	3	0.36923	1.1497	0.13862	0.63907	0.25028	0.55363	0.30398	0.9465	0.20266	0.7299	0.3439	0.58745
ZNF829	3	-0.27267	-1.0178	0.90504	0.9953	0.30879	0.57729	-0.22238	-0.83022	0.97318	0.99823	0.40641	0.62612
UTP15	3	-3.6963	-5.0827	0.0016041	0.081466	3.7206e-07	2.3259e-05	-3.4755	-4.7808	0.0023171	0.091362	1.746e-06	8.6309e-05
GNPDA2	3	0.1246	0.54831	0.45638	0.92412	0.58348	0.74236	0.054824	0.24126	0.57789	0.9605	0.80935	0.88901
CYP3A7	3	0.19671	1.4686	0.34471	0.86669	0.14194	0.5058	-0.19535	-1.4584	0.98908	0.99901	0.14473	0.50948
CYP3A7-CYP3A51P	3	0.19671	1.4686	0.34471	0.86669	0.14194	0.5058	-0.19535	-1.4584	0.98908	0.99901	0.14473	0.50948
RASA2	3	0.28072	1.6517	0.23095	0.76717	0.098601	0.43585	0.096171	0.56583	0.50922	0.94857	0.57151	0.73749
CNTRL	3	-0.067628	-0.33028	0.7834	0.98782	0.74119	0.84603	-0.37782	-1.845	0.77319	0.98728	0.065038	0.34909
TFAP2D	3	-0.029019	-0.14132	0.71749	0.98101	0.88761	0.93763	-0.079743	-0.38835	0.80652	0.98895	0.69776	0.81994
TM2D3	3	-0.77915	-2.5536	0.414	0.90593	0.010662	0.10331	-0.4189	-1.3734	0.72725	0.98397	0.16963	0.52821
LOC107986375	3	0.16822	0.61527	0.38588	0.88875	0.53837	0.71336	0.10838	0.39641	0.48899	0.94349	0.6918	0.81607
C9orf85	3	-0.10125	-0.38736	0.83861	0.99246	0.69849	0.81854	-0.49149	-1.8803	0.65083	0.97289	0.060074	0.33379
ZNF138	3	0.17335	0.775	0.37893	0.88815	0.43834	0.64907	0.36193	1.618	0.14451	0.63871	0.10565	0.45097
FAM91A1	3	-0.39737	-0.96596	0.74744	0.98491	0.33407	0.5879	-0.69393	-1.6855	0.47732	0.93827	0.091889	0.42206
PEX2	3	-0.52029	-1.2771	0.62147	0.97111	0.20156	0.54197	-0.44908	-1.1025	0.69468	0.97826	0.27025	0.55693
RHOBTB3	3	0.16355	0.59542	0.3939	0.89392	0.55156	0.72224	0.0029186	0.010624	0.66794	0.97444	0.99152	0.99614
CD86	3	-0.45132	-2.1767	0.69116	0.97862	0.029501	0.21322	-0.22978	-1.1082	0.9636	0.99823	0.26776	0.55602
IL5RA	3	0.36855	1.6592	0.13916	0.63928	0.09708	0.43279	0.17273	0.7776	0.38526	0.89704	0.43681	0.64578
NCKAP1	3	-1.2759	-2.5398	0.15074	0.66237	0.01109	0.10672	-1.5626	-3.107	0.08043	0.48262	0.0018902	0.025462
TAS2R8	3	-0.12706	-0.67521	0.88156	0.99329	0.49954	0.68923	0.1176	0.62507	0.47482	0.93654	0.53192	0.71022
XKR7	3	-0.21109	-0.87984	0.99095	0.99897	0.37895	0.6124	-0.041663	-0.17366	0.74499	0.98718	0.86213	0.92118
SLC19A2	3	-0.13026	-0.43753	0.8862	0.99386	0.66173	0.79471	-0.41726	-1.4015	0.72899	0.98442	0.16107	0.52183
RPL22L1	3	-0.33001	-1.3966	0.82653	0.99065	0.16253	0.52337	-0.3193	-1.3513	0.84119	0.99193	0.17659	0.53151
RTCA	3	-0.50525	-1.8194	0.63595	0.97518	0.068846	0.35608	-0.54584	-1.9656	0.60266	0.96907	0.049347	0.29576
TMEM168	3	-0.28683	-1.3498	0.88481	0.99365	0.17709	0.53111	0.021082	0.09924	0.63787	0.97289	0.92095	0.95654
NDST4	3	0.1143	0.4051	0.47429	0.92985	0.6854	0.80958	0.11246	0.39856	0.48325	0.94157	0.69021	0.81499
GCNA	3	-0.27983	-1.151	0.8948	0.99448	0.24974	0.55363	-0.10465	-0.43047	0.84721	0.99238	0.66685	0.80051
WSB1	3	0.104	0.57897	0.49193	0.93651	0.56261	0.7289	0.012879	0.071697	0.65092	0.97289	0.94284	0.96903
SERPINB3	3	0.22042	0.6276	0.30911	0.8378	0.53027	0.70835	0.47451	1.3512	0.065547	0.44148	0.17664	0.53151
ENSG00000269755	2	-0.64448	-1.5104	0.51484	0.94379	0.13095	0.49001	-0.82431	-1.9318	0.38464	0.89674	0.053386	0.30967
ZNF709	4	-0.46399	-1.855	0.67886	0.97736	0.063595	0.34001	-0.69148	-2.7643	0.47888	0.94008	0.0057041	0.061931
SERPINB4	3	0.079416	0.27289	0.53173	0.94815	0.78494	0.8728	0.32448	1.1156	0.18171	0.70496	0.26458	0.55544
ZNF20	3	-0.79811	-2.1179	0.40143	0.89765	0.034181	0.23406	-0.77021	-2.0439	0.42189	0.91488	0.040965	0.26282
ADAM18	3	-0.23913	-0.74563	0.95063	0.99664	0.45589	0.66006	0.045381	0.14162	0.59522	0.96645	0.88738	0.93651
BAZ1A	3	0.030382	0.21744	0.61577	0.97074	0.82786	0.90127	-0.049005	-0.35073	0.75675	0.98718	0.72579	0.8384
ZNF670	3	-0.2033	-0.73409	0.99804	0.9996	0.4629	0.66415	-0.26888	-0.97089	0.90897	0.99668	0.3316	0.57984
COMMD8	3	-0.2227	-1.0329	0.97371	0.99795	0.30163	0.57454	-0.03724	-0.17273	0.73683	0.98634	0.86287	0.92128
TMEM132B	3	-0.92235	-1.4722	0.32087	0.84698	0.14096	0.5045	-0.85914	-1.3717	0.36289	0.88139	0.17014	0.52821
ZNF433	3	-0.35462	-1.3371	0.79645	0.98992	0.1812	0.53371	-0.43107	-1.6253	0.71415	0.98235	0.10411	0.44971
FBP1	3	-0.078134	-0.20678	0.80193	0.99031	0.83618	0.90601	-0.26062	-0.68956	0.91975	0.99668	0.49047	0.68122
PRSS38	3	-0.19779	-0.9438	0.99011	0.99897	0.34527	0.5929	-0.061709	-0.29458	0.77636	0.98728	0.76832	0.86335
PHF7	3	-0.35665	-1.2082	0.79369	0.9895	0.22698	0.55116	-0.66104	-2.2392	0.50365	0.94724	0.025143	0.18986
IREB2	3	-1.8928	-3.2128	0.040683	0.34427	0.0013144	0.018809	-1.9503	-3.3099	0.038366	0.3414	0.00093326	0.014267
SRGAP2	4	0.34243	1.1288	0.16327	0.68091	0.259	0.557	0.10177	0.33546	0.49978	0.94724	0.73728	0.84539
KDELR2	3	-0.29617	-1.6642	0.87082	0.99296	0.096063	0.42945	-0.28959	-1.6273	0.87987	0.99486	0.10368	0.44883
DNAJC15	3	-0.64035	-1.5738	0.51809	0.94482	0.11554	0.46797	-0.45766	-1.1251	0.6855	0.97664	0.26055	0.55436
GFY	3	0.16633	0.47346	0.38882	0.88986	0.63589	0.77816	0.25345	0.72157	0.26704	0.80206	0.47056	0.66875
DCD	3	0.23308	1.4798	0.29133	0.82551	0.13893	0.50151	0.086863	0.55146	0.52473	0.95224	0.58132	0.74437
ICOS	3	0.24836	1.4101	0.27172	0.80921	0.15852	0.51984	-0.045879	-0.26047	0.75096	0.98718	0.7945	0.87916
CLDN16	3	0.45503	1.1121	0.073701	0.47326	0.26611	0.5598	0.52987	1.295	0.040594	0.35065	0.19532	0.53965
ARFIP1	3	0.59436	1.4866	0.022235	0.24975	0.13712	0.49874	0.089992	0.22504	0.51916	0.95111	0.82195	0.89574
ATG14	3	0.0096474	0.073917	0.65021	0.97552	0.94108	0.96857	-0.11396	-0.87312	0.86369	0.99406	0.38259	0.61136
GREP1	3	-1.1939	-2.6218	0.18082	0.70598	0.0087475	0.088829	-0.9404	-2.066	0.30946	0.84132	0.03883	0.25391
DCP2	3	-0.99645	-2.2034	0.27569	0.81322	0.02757	0.20393	-1.1057	-2.445	0.22128	0.75004	0.014487	0.12645
KCTD9	3	0.61094	1.0492	0.018403	0.22204	0.29407	0.57074	0.58269	1.0007	0.025443	0.27638	0.31697	0.57525
COLGALT2	3	-0.30783	-1.1226	0.85532	0.99296	0.26162	0.5582	-0.53585	-1.9537	0.6118	0.97106	0.050738	0.30068
OLFML1	3	0.049014	0.16499	0.58279	0.96015	0.86895	0.92619	0.042349	0.14255	0.60111	0.96895	0.88664	0.93604
SYT9-AS1	2	-0.13889	-0.40524	0.89983	0.99463	0.6853	0.80953	-0.38132	-1.1124	0.76909	0.98728	0.26595	0.55544
ENSG00000286224	3	0.32622	1.0628	0.1794	0.70395	0.28785	0.56831	0.42371	1.3805	0.093129	0.51758	0.16743	0.52709
DYNC2H1	3	-0.23424	-1.0825	0.95767	0.99681	0.27904	0.56473	-0.30503	-1.4095	0.85955	0.99406	0.15867	0.5206
ZNF730	3	-0.56947	-1.2998	0.577	0.95825	0.19367	0.53784	-0.62108	-1.4176	0.53743	0.95487	0.15631	0.51934
YWHAZ	3	-0.18046	-0.91886	0.96364	0.99716	0.35817	0.60065	0.32538	1.6572	0.18091	0.70484	0.097487	0.43456
YWHAZP5	1	-0.34807	-0.71582	0.80483	0.99031	0.47411	0.67241	0.33372	0.6863	0.1728	0.69349	0.49252	0.6831
YWHAZP6	1	-0.34807	-0.71582	0.80483	0.99031	0.47411	0.67241	0.33372	0.6863	0.1728	0.69349	0.49252	0.6831
POMP	3	-1.9508	-3.2786	0.03743	0.33059	0.0010431	0.015492	-2.5225	-4.2183	0.01319	0.19334	2.4619e-05	0.00072129
TAS2R38	3	-0.464	-1.145	0.67886	0.97736	0.2522	0.55405	-0.90418	-2.2299	0.33219	0.85647	0.025752	0.19323
RAB9A	3	-0.094573	-0.76194	0.82778	0.99065	0.4461	0.65394	-0.037289	-0.30042	0.73697	0.98646	0.76385	0.86052
SPINT4	3	-0.3848	-0.981	0.76138	0.98553	0.32659	0.58448	-0.21122	-0.5386	0.98846	0.99901	0.59016	0.75073
SRPK2	3	-0.62594	-1.719	0.53003	0.94758	0.085619	0.40563	-0.57123	-1.5689	0.579	0.9605	0.11667	0.46954
ANKRD46	3	-0.022922	-0.075534	0.70689	0.97974	0.93979	0.9679	-0.3585	-1.1812	0.79423	0.98858	0.23751	0.54823
LIMA1	3	-0.53305	-1.4958	0.60984	0.96995	0.13472	0.49589	-0.48602	-1.3643	0.65565	0.97291	0.17248	0.52944
BCL10	3	-0.66685	-2.0481	0.49684	0.93651	0.040554	0.26026	-0.65955	-2.0257	0.50508	0.94759	0.042795	0.27046
U2AF1	4	-3.3817	-4.4966	0.0024062	0.087948	6.9048e-06	0.00025403	-4.546	-6.0071	0.00093575	0.091362	1.889e-09	3.261e-07
LOC102724594	3	-3.2614	-4.2683	0.0029409	0.090123	1.9699e-05	0.00059104	-5.9243	-7.6227	0.00013368	0.091362	2.4844e-14	3.9824e-11
LOC7307	3	-3.2614	-4.2683	0.0029409	0.090123	1.9699e-05	0.00059104	-5.9243	-7.6227	0.00013368	0.091362	2.4844e-14	3.9824e-11
GTF2A1	3	-1.5617	-2.9519	0.081143	0.49742	0.0031585	0.039032	-1.2806	-2.4242	0.15052	0.65187	0.015341	0.13196
PDLIM5	3	0.075516	0.49767	0.53823	0.95082	0.61872	0.76634	0.083037	0.54725	0.53084	0.95224	0.58421	0.74659
MTUS1	3	0.45842	1.547	0.071429	0.46558	0.12187	0.4778	0.20439	0.68973	0.3354	0.85949	0.49037	0.68116
SLC30A7	3	-0.31615	-1.5254	0.84516	0.99296	0.12716	0.48428	-0.064389	-0.31071	0.78161	0.98772	0.75602	0.85614
B4GALT6	3	-0.09971	-0.3929	0.83602	0.99217	0.6944	0.81564	0.055206	0.21757	0.57691	0.9605	0.82776	0.89966
TLK1	3	0.092715	0.27964	0.50913	0.94128	0.77975	0.86952	0.37658	1.1359	0.13096	0.61178	0.25598	0.55225
LZIC	3	0.41974	1.4476	0.095803	0.53483	0.14774	0.51206	0.11816	0.40747	0.47393	0.93654	0.68366	0.81033
RWDD4	3	-0.46326	-1.4294	0.67957	0.9777	0.15288	0.51547	-0.61383	-1.8939	0.54443	0.95677	0.058235	0.32734
RWDD4P2	1	0.013049	0.98849	0.64477	0.97552	0.32291	0.58208	0.0022632	0.17144	0.66919	0.97444	0.86388	0.9218
HTRA1	3	0.002383	0.012117	0.6626	0.97591	0.99033	0.99559	-0.15845	-0.8057	0.93245	0.99684	0.42042	0.6357
TCP11X2	5	-0.05882	-0.32199	0.7686	0.98703	0.74746	0.85008	-0.17451	-0.95526	0.95691	0.99796	0.33945	0.58512
TCP11X1	5	0.096664	0.44595	0.50267	0.93852	0.65563	0.79085	-0.069038	-0.31848	0.78955	0.98829	0.75012	0.85318
ENSG00000284800	3	-0.3061	-1.1577	0.85701	0.99296	0.24698	0.55363	-0.33752	-1.2766	0.8198	0.98916	0.20175	0.54097
TRIML2	3	-0.024245	-0.10306	0.70938	0.9809	0.91791	0.95582	-0.074428	-0.31639	0.79855	0.98858	0.75171	0.85392
SEMG1	3	-0.29955	-1.1	0.86677	0.99296	0.27135	0.56144	-0.50306	-1.8472	0.64165	0.97289	0.06472	0.34803
RSRC2	3	-0.80848	-1.7647	0.39484	0.89456	0.077618	0.38348	-0.88909	-1.9404	0.34244	0.86326	0.052332	0.30712
ZNF586	3	-0.49048	-1.7241	0.65079	0.97552	0.084698	0.40314	-0.53177	-1.8692	0.61577	0.97197	0.061596	0.33831
TIGAR	3	0.0018785	0.0095229	0.66349	0.97594	0.9924	0.99669	0.04225	0.21418	0.60124	0.96895	0.8304	0.90136
SELENOI	3	-0.39755	-1.3484	0.7473	0.98491	0.17754	0.53146	-0.78134	-2.6498	0.41409	0.91319	0.0080533	0.081119
ZNF177	5	-0.74734	-2.5493	0.43646	0.91796	0.010795	0.10452	-0.63559	-2.1683	0.52415	0.95224	0.030134	0.21408
ZNF559-ZNF177	3	-0.96506	-2.2068	0.29463	0.82743	0.02733	0.20276	-0.62833	-1.4374	0.53057	0.95224	0.15059	0.51335
ZNF140	3	-0.28232	-0.93704	0.89168	0.99448	0.34874	0.59471	-0.17964	-0.59632	0.96484	0.99823	0.55096	0.7224
ZNF454	3	0.20276	0.65441	0.33468	0.85837	0.51285	0.69711	0.38301	1.2363	0.12521	0.60004	0.21634	0.54466
ZNF229	3	-0.00058477	-0.0022333	0.66768	0.97597	0.99822	0.99911	-0.32215	-1.2301	0.83794	0.99156	0.21867	0.5448
FARP1	3	0.25981	1.6627	0.25546	0.78978	0.096365	0.43046	0.036354	0.23266	0.61189	0.97106	0.81603	0.89266
TMED1	3	-0.53168	-1.4592	0.61104	0.97042	0.14451	0.50799	-0.47805	-1.3124	0.66384	0.97444	0.1894	0.53669
TMEM97	3	-0.36474	-1.6962	0.7842	0.98782	0.089853	0.4147	-0.2325	-1.0813	0.96003	0.99819	0.27955	0.56043
COX7A1	3	-0.02874	-0.10734	0.717	0.98101	0.91452	0.95399	-0.15272	-0.57029	0.92407	0.9968	0.56848	0.73541
MDFIC2	3	0.53155	1.2894	0.038499	0.33449	0.19727	0.53939	0.46671	1.1321	0.069691	0.45373	0.2576	0.55375
BLTP3B	3	0.2266	1.3961	0.29962	0.8293	0.16268	0.52351	0.11961	0.7369	0.47126	0.93543	0.46118	0.66222
UGDH	3	0.17326	0.72267	0.37911	0.88819	0.46989	0.66932	-0.3389	-1.4132	0.8182	0.98916	0.15759	0.51979
ACTR2	3	-2.8626	-4.446	0.0058373	0.11822	8.7474e-06	0.00030578	-2.8972	-4.4997	0.0053471	0.11742	6.805e-06	0.00026061
RPL5	3	-3.5545	-4.1648	0.0017824	0.081466	3.1166e-05	0.00085193	-3.2809	-3.8552	0.0028964	0.092643	0.00011562	0.0025241
LOC124902894	3	-0.17052	-0.86496	0.94965	0.99664	0.38706	0.61663	-0.11622	-0.58954	0.86766	0.99406	0.5555	0.72585
KIF5C	3	0.16679	1.3443	0.38825	0.8896	0.17885	0.53207	-0.13343	-1.0754	0.89341	0.99542	0.2822	0.56116
OLAH	3	0.31736	0.91917	0.18831	0.7154	0.35801	0.60065	0.20051	0.58073	0.3415	0.86326	0.56142	0.72998
