Gene	sgRNA	A375_CP0082_repA|beta	A375_CP0082_repA|z	A375_CP0082_repA|p-value	A375_CP0082_repA|fdr	A375_CP0082_repA|wald-p-value	A375_CP0082_repA|wald-fdr	A375_CP0082_repB|beta	A375_CP0082_repB|z	A375_CP0082_repB|p-value	A375_CP0082_repB|fdr	A375_CP0082_repB|wald-p-value	A375_CP0082_repB|wald-fdr
SLC35B2	3	-0.22091	-0.95764	0.97603	0.99795	0.33824	0.58995	-0.37345	-1.6188	0.7776	0.98728	0.10549	0.45097
C1orf52	3	0.22158	0.7838	0.30728	0.83608	0.43316	0.64623	0.38158	1.3498	0.1265	0.60365	0.17708	0.53171
DNM2	3	-3.1478	-4.7577	0.0032528	0.090123	1.9583e-06	9.1751e-05	-2.8291	-4.2772	0.0061492	0.12388	1.8928e-05	0.00058833
UPK1A	3	0.25755	1.1166	0.25889	0.79461	0.26415	0.55909	0.18247	0.79112	0.37047	0.88494	0.42887	0.64135
UPK1A-AS1	3	0.25755	1.1166	0.25889	0.79461	0.26415	0.55909	0.18247	0.79112	0.37047	0.88494	0.42887	0.64135
ANKS4B	3	0.18308	0.70004	0.36472	0.87954	0.4839	0.67897	0.43686	1.6704	0.08444	0.49234	0.094843	0.42874
SLC39A2	3	0.36075	1.1839	0.14718	0.65744	0.23644	0.55235	0.16454	0.53999	0.39894	0.90581	0.5892	0.75011
GUCA2B	3	0.12987	0.85279	0.44787	0.92245	0.39378	0.62097	0.2072	1.3605	0.33116	0.85573	0.17366	0.53066
ABCG8	3	0.099274	0.5986	0.49893	0.93746	0.54944	0.72124	0.1982	1.1951	0.34502	0.86525	0.23205	0.54616
ZSWIM5	3	0.35005	1.3415	0.15716	0.67142	0.17975	0.533	0.18621	0.71361	0.36369	0.88181	0.47547	0.67211
SDC4	3	0.11661	0.72882	0.47046	0.92985	0.46611	0.66644	0.13182	0.82394	0.45125	0.92621	0.40997	0.62866
PRR33	3	0.061232	0.45225	0.56216	0.95597	0.65109	0.78825	0.10692	0.7897	0.49104	0.94398	0.4297	0.64199
ENSG00000273049	3	-0.013267	-0.07836	0.6904	0.97862	0.93754	0.9668	-0.028285	-0.16707	0.72128	0.98331	0.86732	0.92384
TUFT1	3	-0.0037958	-0.01696	0.67307	0.97597	0.98647	0.99373	0.061172	0.27333	0.56746	0.95922	0.7846	0.87289
UBAC1	3	0.23699	1.1575	0.28589	0.82004	0.24706	0.55363	0.001185	0.0057874	0.67066	0.97444	0.99538	0.99778
SLX9	3	-0.60518	-0.7249	0.54719	0.95304	0.46851	0.66805	-0.85073	-1.0166	0.36784	0.8845	0.30936	0.5712
PLXNB2	3	-0.074061	-0.38771	0.79507	0.98952	0.69823	0.81843	-0.11628	-0.60875	0.8677	0.99406	0.54269	0.71715
BBS4	3	-0.10952	-0.67415	0.85273	0.99296	0.50022	0.68968	-0.28523	-1.7556	0.88726	0.99542	0.079151	0.391
LOC124900986	3	-0.15549	-1.1303	0.92643	0.99604	0.25836	0.5568	-0.077137	-0.56076	0.80238	0.9888	0.57496	0.74018
HS6ST2	3	0.55183	1.199	0.032439	0.3064	0.23051	0.55159	0.52608	1.1431	0.042064	0.35795	0.253	0.55109
LOC5822	1	-4.0908	-2.9609	0.0011585	0.080882	0.0030675	0.038033	-5.7229	-4.1503	0.00017824	0.091362	3.3197e-05	0.00092547
IGHV3OR16-17	3	-0.25665	-1.3313	0.92594	0.99604	0.18309	0.53513	-0.14938	-0.7749	0.91921	0.99668	0.4384	0.64672
FKBP8	3	-1.5194	-3.0631	0.088138	0.51484	0.0021905	0.028548	-1.1903	-2.4002	0.1843	0.70733	0.016385	0.13865
TXNDC5	3	0.29075	1.1969	0.21919	0.75414	0.23136	0.55159	0.26071	1.0732	0.25729	0.79259	0.28317	0.56133
ELAPOR1	3	-0.21167	-0.76918	0.99029	0.99897	0.44179	0.65103	-0.22399	-0.81398	0.97095	0.99823	0.41566	0.6325
PLB1	3	-0.21815	-1.2281	0.98035	0.99823	0.2194	0.55019	-0.02717	-0.15296	0.71968	0.98331	0.87843	0.93108
CLCA1	3	0.21584	1.036	0.31601	0.8439	0.30021	0.57357	0.13977	0.67083	0.43842	0.92052	0.50233	0.68931
PRR35	3	-0.028437	-0.1714	0.7166	0.98101	0.86391	0.92275	-0.23589	-1.4218	0.95508	0.99791	0.15509	0.5184
CLDN14	3	0.40988	1.1431	0.10414	0.55653	0.25298	0.55442	0.44874	1.2515	0.078736	0.47899	0.21074	0.54321
TTC9B	2	0.2057	0.93283	0.33001	0.85352	0.35091	0.59593	-0.088185	-0.3998	0.82123	0.98916	0.6893	0.81443
OSTF1	3	0.18365	0.70405	0.364	0.87886	0.4814	0.6773	0.051593	0.19779	0.58333	0.96154	0.84321	0.90956
S100PBP	3	0.10354	0.45058	0.49238	0.93651	0.65229	0.78911	0.27222	1.1847	0.24138	0.7711	0.23615	0.54765
LRRN1	3	0.11468	0.61959	0.47367	0.92985	0.53553	0.7119	0.23357	1.262	0.29489	0.8286	0.20697	0.54188
SLC35E4	3	0.36537	1.1024	0.14192	0.64377	0.27029	0.56136	0.41482	1.2516	0.099545	0.53292	0.21072	0.54321
GUK1	3	-2.6778	-4.1556	0.0087336	0.15008	3.244e-05	0.00088245	-4.5076	-6.9214	0.00093575	0.091362	4.4726e-12	3.2379e-09
ZNF10	4	-0.3059	-0.75718	0.85705	0.99296	0.44894	0.6559	-0.47054	-1.1641	0.67191	0.97448	0.2444	0.54896
BBOF1	3	0.11798	0.67847	0.46769	0.92903	0.49747	0.68783	0.13751	0.79084	0.44256	0.92266	0.42904	0.64143
MAP2K1	3	-3.4358	-5.465	0.002228	0.087948	4.6302e-08	4.3545e-06	-3.0616	-4.8797	0.0040103	0.10341	1.0623e-06	5.7586e-05
KRTAP3-2	3	-0.67688	-2.0559	0.48975	0.93651	0.039792	0.25699	-0.41827	-1.2706	0.72779	0.98397	0.20388	0.54188
PYM1	3	-1.7599	-2.1128	0.053516	0.39934	0.034616	0.23607	-1.7153	-2.0619	0.059487	0.42074	0.039214	0.25545
GOT1	3	-0.26214	-1.1585	0.91841	0.99594	0.24668	0.55363	-0.41214	-1.8213	0.73487	0.98613	0.068562	0.36009
KCNJ13	3	0.0081827	0.072206	0.65288	0.97552	0.94244	0.96908	0.10057	0.88752	0.50178	0.94724	0.3748	0.60651
CHS.7849	3	-0.62939	-1.436	0.52758	0.94758	0.151	0.51398	-0.71249	-1.6253	0.4631	0.93111	0.10409	0.44971
LOC124902565	3	0.39415	0.89807	0.11585	0.58664	0.36915	0.60582	0.47142	1.0743	0.067374	0.44933	0.2827	0.56125
LOC105376360	1	-0.079236	-0.23752	0.80318	0.99031	0.81225	0.89057	0.28498	0.85427	0.22543	0.75474	0.39296	0.61769
FGF16	3	-0.24521	-1.0258	0.94189	0.99604	0.30499	0.57602	-0.34481	-1.4424	0.81098	0.98895	0.14918	0.513
KLRG1	3	-0.16622	-0.41633	0.94225	0.99604	0.67717	0.80412	-0.18443	-0.46195	0.97184	0.99823	0.64411	0.78634
SMIM19	3	-0.49238	-0.97244	0.64883	0.97552	0.33083	0.58693	-0.32066	-0.6336	0.83972	0.9919	0.52634	0.70617
PTTG2	3	-0.34295	-1.5697	0.81085	0.99031	0.11648	0.46957	-0.30416	-1.3922	0.86093	0.99406	0.16386	0.52475
OR4N5	3	0.22672	1.2164	0.29953	0.8293	0.22383	0.55116	0.13403	0.71907	0.4476	0.92529	0.4721	0.66978
SLC26A6	3	-1.1926	-1.3547	0.18162	0.70669	0.17552	0.53064	-1.3962	-1.5813	0.11331	0.57012	0.11381	0.46665
PDGFC	3	0.31011	1.1082	0.19633	0.7236	0.26777	0.56064	0.35725	1.2767	0.14941	0.6488	0.20172	0.54097
OGN	3	0.49907	0.9984	0.050486	0.38537	0.31808	0.58015	0.60052	1.2014	0.021478	0.25557	0.2296	0.54596
TOX4	2	-1.0639	-1.7258	0.23919	0.77338	0.084375	0.40212	-0.97608	-1.5839	0.28687	0.8215	0.11322	0.46561
ENSG00000272297	3	0.28533	1.4814	0.22592	0.76004	0.1385	0.50092	0.2216	1.1505	0.31129	0.8423	0.24993	0.55028
KCNH8	3	-0.064784	-0.33672	0.77841	0.98714	0.73633	0.84262	-0.12651	-0.65754	0.88205	0.99533	0.51084	0.69555
HIKESHIP2	1	-2.5378	-1.9827	0.011764	0.17718	0.0474	0.28557	-2.4286	-1.8974	0.015551	0.20923	0.057779	0.32615
GPR143	3	0.40103	0.96657	0.11028	0.57225	0.33376	0.58777	0.56886	1.3711	0.029498	0.29686	0.17034	0.52829
MYO5A	3	0.035833	0.20591	0.60659	0.96933	0.83686	0.90652	0.20834	1.1973	0.32938	0.85407	0.23121	0.54616
GPR18	3	-0.082112	-0.43204	0.80795	0.99031	0.66571	0.79752	0.13224	0.69591	0.45063	0.92621	0.48648	0.679
NUDCD1	3	-0.95276	-1.8923	0.3022	0.83156	0.058454	0.32455	-1.3609	-2.6997	0.12383	0.59622	0.0069407	0.071947
TRMT112	3	-4.0211	-6.11	0.0012031	0.080882	9.9659e-10	1.8954e-07	-4.2158	-6.3921	0.0012031	0.091362	1.636e-10	5.0293e-08
SNAI2	3	-0.27943	-1.4957	0.89537	0.99448	0.13474	0.49589	-0.20563	-1.1007	0.99599	0.99911	0.27105	0.55735
TLL2	3	0.19729	0.97806	0.34382	0.86599	0.32804	0.58549	0.20986	1.0404	0.32764	0.853	0.29816	0.56612
ATXN3	3	-0.14927	-0.42368	0.91663	0.99594	0.6718	0.80132	-0.12308	-0.34937	0.87742	0.99455	0.72681	0.83892
ATF1	3	0.2791	1.3646	0.23322	0.77002	0.17237	0.52902	0.088473	0.43256	0.52188	0.95134	0.66534	0.79942
GBA1LP	2	-0.66594	-1.3032	0.49746	0.93651	0.1925	0.5374	-0.62517	-1.2235	0.53395	0.95285	0.22113	0.54493
OR10G2	3	-0.1304	-0.62839	0.88651	0.99386	0.52975	0.70797	0.092626	0.44639	0.51475	0.94922	0.65532	0.79332
CEMIP	3	-0.40655	-1.2138	0.7379	0.98491	0.22482	0.55116	-0.18067	-0.53951	0.96645	0.99823	0.58954	0.75032
KDELR3	3	0.28904	1.1962	0.22146	0.75673	0.23164	0.55159	0.27551	1.1402	0.23732	0.7671	0.25421	0.55201
NCOA7	3	0.48552	1.2302	0.057259	0.41226	0.21861	0.54952	0.42056	1.0656	0.095491	0.52319	0.28659	0.56258
ENSG00000256825	3	-0.63052	-1.2824	0.52656	0.94758	0.19969	0.54069	-0.83902	-1.7048	0.3751	0.88863	0.088238	0.41545
LTB	3	0.081078	0.34602	0.52954	0.94758	0.72933	0.83828	0.14337	0.6119	0.43307	0.92026	0.5406	0.71572
SKAP1	3	0.049393	0.24449	0.58221	0.96015	0.80685	0.88705	0.11085	0.54873	0.48547	0.94199	0.58319	0.74586
TAS1R2	3	-0.0092789	-0.028702	0.68305	0.97778	0.9771	0.989	-0.28549	-0.88286	0.88677	0.99542	0.37731	0.60855
TMEM225	3	0.059597	0.28342	0.56474	0.95686	0.77685	0.86776	0.28496	1.3552	0.22543	0.75474	0.17535	0.53145
SLC15A2	3	-0.022163	-0.1777	0.70497	0.97914	0.85896	0.92015	0.099279	0.79606	0.5037	0.94724	0.42599	0.63937
ANGPT1	3	-0.15415	-0.73861	0.92412	0.99604	0.46015	0.66238	-0.037167	-0.17812	0.73674	0.98634	0.85863	0.91899
PRAMEF33	3	-1.3584	-2.7859	0.12521	0.60862	0.0053384	0.060135	-1.1823	-2.4254	0.18808	0.71018	0.015293	0.13171
PRAMEF35P	1	-0.83676	-0.96816	0.37555	0.88614	0.33296	0.58736	-1.096	-1.2681	0.22623	0.75652	0.20476	0.54188
LMAN2L	3	0.062568	0.57768	0.55975	0.95487	0.56348	0.72919	0.18901	1.7451	0.35982	0.88001	0.080963	0.39629
RAB28	3	0.27484	0.86317	0.23768	0.77248	0.38804	0.61708	-0.0087153	-0.02737	0.68773	0.97745	0.97816	0.98959
ZC3HAV1L	3	0.12813	0.75648	0.45085	0.92301	0.44936	0.6561	0.16279	0.96116	0.40139	0.90668	0.33647	0.5831
METRNL	3	0.30164	1.3687	0.20577	0.73535	0.17111	0.52872	0.1688	0.76589	0.39208	0.901	0.44374	0.64998
FRG2C	4	-1.5559	-3.4565	0.081722	0.49851	0.0005472	0.009023	-1.2558	-2.791	0.15912	0.66611	0.0052541	0.058171
CDC42EP3	3	-0.66671	-1.2308	0.49697	0.93651	0.21838	0.54938	-0.44961	-0.83042	0.69414	0.97826	0.4063	0.62608
TRPC7	3	-0.27735	-1.3804	0.89867	0.99448	0.16745	0.52674	0.041266	0.20539	0.60258	0.96907	0.83727	0.90615
PCDH11X	3	-0.20254	-1.2318	0.99724	0.9996	0.21801	0.5492	0.0054593	0.033204	0.66353	0.97444	0.97351	0.98675
PCDH11Y	3	0.23775	0.62567	0.28482	0.81865	0.53153	0.70891	0.39477	1.0389	0.11523	0.57416	0.29884	0.56635
PDHA1	3	-0.4218	-1.4967	0.71994	0.98138	0.13447	0.49589	-0.4557	-1.617	0.68737	0.97745	0.10588	0.45097
BORCS5	3	-0.13618	-1.1221	0.89569	0.99448	0.26182	0.5582	-0.05813	-0.47898	0.77034	0.98728	0.63196	0.77875
FAM227A	3	-0.16166	-0.59578	0.93539	0.99604	0.55132	0.72224	0.22083	0.8141	0.31236	0.84255	0.41559	0.63249
LOC124901993	3	-0.23915	-1.2108	0.95063	0.99664	0.22597	0.55116	0.15687	0.79428	0.41155	0.9131	0.42703	0.64009
TTLL3	3	-0.088392	-0.34954	0.81757	0.99031	0.72668	0.83679	-0.28846	-1.1405	0.88183	0.99533	0.25408	0.55198
INHBC	3	-0.17397	-0.54483	0.95468	0.99681	0.58587	0.74346	-0.057508	-0.18011	0.76918	0.98728	0.85706	0.91806
MRPL51	3	-2.807	-4.1112	0.006372	0.12446	3.9365e-05	0.0010357	-2.8436	-4.1646	0.0060601	0.12388	3.1185e-05	0.00087812
TAAR1	3	0.24959	1.2722	0.27003	0.80725	0.2033	0.543	0.16178	0.82462	0.40304	0.90749	0.40959	0.6284
ENSG00000285117	3	0.16548	1.3096	0.39047	0.89126	0.19033	0.5374	-0.02102	-0.16634	0.70943	0.9813	0.86789	0.92427
NPY2R	3	-0.34261	-1.4569	0.81138	0.99031	0.14515	0.50882	-0.31197	-1.3266	0.85028	0.99298	0.18464	0.53528
ZDHHC14	3	0.36046	1.4089	0.14749	0.65805	0.15887	0.52027	0.28871	1.1284	0.2207	0.74985	0.25913	0.55407
OSR2	3	0.29692	1.1272	0.21188	0.74452	0.25966	0.55724	0.35976	1.3658	0.14664	0.64265	0.17201	0.52918
CST11	3	-0.52003	-1.5855	0.6216	0.97111	0.11285	0.46404	-0.4236	-1.2918	0.72208	0.98331	0.19643	0.53965
C1QB	3	-1.046	-1.4362	0.249	0.78391	0.15095	0.51398	-0.8581	-1.1801	0.36347	0.88166	0.23797	0.54839
SOX6	3	0.2907	0.89216	0.21923	0.75414	0.37231	0.60753	0.47164	1.4475	0.067195	0.44894	0.14775	0.51211
GPR39	4	0.34023	1.114	0.16563	0.68466	0.26528	0.55922	0.37461	1.2266	0.13314	0.61654	0.21996	0.5448
PDLIM4	3	0.36667	1.7331	0.14081	0.64241	0.083085	0.39861	-0.0087767	-0.041481	0.68786	0.97758	0.96691	0.98347
SOHLH2	3	-0.3189	-0.89488	0.84132	0.9928	0.37085	0.60678	-0.22442	-0.62989	0.97023	0.99823	0.52876	0.70786
CCDC169-SOHLH2	4	-0.29428	-1.0992	0.87376	0.99296	0.27166	0.56144	-0.24194	-0.90384	0.94528	0.99732	0.36608	0.601
SUGCT	3	-0.19796	-0.99459	0.99029	0.99897	0.31994	0.58091	-0.12715	-0.63883	0.88325	0.99542	0.52293	0.70401
AGAP2	3	-0.56651	-2.0016	0.57856	0.95825	0.045331	0.27843	-0.62846	-2.2204	0.53052	0.95224	0.026389	0.19591
INA	3	-0.23733	-0.50714	0.95312	0.99681	0.61206	0.76175	-0.65131	-1.3914	0.51123	0.94865	0.1641	0.52475
OR4C11	3	-0.23926	-0.52364	0.95054	0.99664	0.60053	0.75388	-0.25554	-0.55927	0.92768	0.9968	0.57598	0.74092
SLC1A5	3	-1.284	-2.5559	0.14767	0.65806	0.01059	0.10276	-1.2958	-2.5795	0.14517	0.63871	0.0098937	0.095171
ZSCAN25	3	-0.59511	-2.0725	0.55543	0.95463	0.038217	0.25101	-0.38923	-1.3556	0.75991	0.98718	0.17524	0.53145
HSFX1	3	-0.12535	-0.66665	0.87884	0.9932	0.505	0.69269	-0.40079	-2.1314	0.74784	0.98718	0.033053	0.22796
RPGRIP1L	3	-0.020084	-0.13606	0.70176	0.97862	0.89178	0.94003	-0.051013	-0.34558	0.75996	0.98718	0.72966	0.84095
C3orf18	3	0.23844	1.4588	0.28389	0.81745	0.14462	0.50813	0.15897	0.97259	0.4083	0.91181	0.33076	0.57974
ATXN1	3	-0.040079	-0.15495	0.73746	0.98491	0.87686	0.93136	0.30221	1.1686	0.20488	0.7331	0.24257	0.54863
SEC61B	3	-1.0549	-2.1787	0.2441	0.77968	0.029351	0.21259	-1.3519	-2.7904	0.12668	0.60374	0.0052639	0.058251
CRYBG1	3	0.013345	0.035585	0.64424	0.97552	0.97161	0.98594	0.25379	0.67698	0.26642	0.80131	0.49842	0.68699
NLRP8	3	-0.07535	-0.52007	0.79726	0.99009	0.60302	0.75569	0.00070071	0.0048365	0.67155	0.97446	0.99614	0.99817
