id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
TTC16	4	0.49577	0.54932	0.976208	10351	1	-0.16095	0.8759	0.9476	1.0	16964	0	-0.16095
NABP1	4	0.49586	0.54932	0.976208	10352	2	-0.031642	0.32918	0.6816	1.0	9899	2	-0.031642
TRIM45	4	0.4959	0.54932	0.976208	10353	1	0.2062	0.36009	0.72783	1.0	10495	2	0.2062
MMEL1	4	0.49591	0.54932	0.976208	10354	2	-0.001356	0.36738	0.72783	1.0	10617	2	-0.001356
DMAC1	4	0.49597	0.54932	0.976208	10355	2	-0.28528	0.88666	0.9476	1.0	17150	0	-0.28528
GARIN3	4	0.49606	0.54932	0.976208	10356	1	-0.2187	0.17114	0.44675	1.0	6923	1	-0.2187
FKBP10	4	0.49609	0.54932	0.976208	10357	2	-0.24958	0.90001	0.9476	1.0	17424	0	-0.24958
DEFB136	4	0.49622	0.54932	0.976208	10358	2	-0.30548	0.8728	0.9476	1.0	16900	0	-0.30548
ECHS1	4	0.49626	0.54932	0.976208	10359	2	0.14598	0.121	0.32985	1.0	5985	2	0.14598
LCT	4	0.49641	0.54932	0.976208	10360	2	-0.26938	0.74312	0.90093	1.0	14650	1	-0.26938
VRTN	4	0.49644	0.54932	0.976208	10361	2	-0.23147	0.91867	0.96422	1.0	17770	0	-0.23147
CSRP2	4	0.49645	0.54932	0.976208	10362	1	0.5683	0.10028	0.32985	1.0	5312	3	0.5683
OR1K1	4	0.4965	0.54932	0.976208	10363	2	0.37437	0.018003	0.079704	0.951815	1723	2	0.37437
RAVER1	4	0.49651	0.54932	0.976208	10364	1	0.23215	0.31461	0.6816	1.0	9623	2	0.23215
CCNT2	4	0.49664	0.54932	0.976208	10365	1	-0.17673	0.9206	0.96422	1.0	17818	0	-0.17673
LHPP	4	0.49667	0.54932	0.976208	10366	1	0.035685	0.42958	0.75249	1.0	11678	1	0.035685
ANKRD22	4	0.49675	0.54932	0.976208	10367	1	0.33577	0.37216	0.72783	1.0	10728	2	0.33577
NFRKB	4	0.4969	0.54932	0.976208	10368	1	-0.27221	0.4921	0.75249	1.0	12158	1	-0.27221
POU4F3	4	0.49692	0.54932	0.976208	10369	2	-0.087714	0.044274	0.18158	1.0	2974	1	-0.087714
PTCHD4	4	0.49694	0.54932	0.976208	10370	2	-0.028037	0.38884	0.72783	1.0	11036	2	-0.028037
MIA3	4	0.49697	0.54932	0.976208	10371	2	-0.25289	0.77759	0.92569	1.0	15131	1	-0.25289
GRK6	4	0.49697	0.54932	0.976208	10372	2	-0.52471	0.87702	0.9476	1.0	16983	0	-0.52471
NEURL1	4	0.49698	0.54932	0.976208	10373	1	0.085612	0.62034	0.85127	1.0	13241	1	0.085612
PCDHB6	4	0.49708	0.54932	0.976208	10374	2	-0.35918	0.74243	0.90093	1.0	14640	1	-0.35918
MUC3A	4	0.49717	0.54932	0.976208	10375	2	-0.12881	0.27609	0.64149	1.0	8870	2	-0.12881
PERM1	4	0.49719	0.54932	0.976208	10376	2	-0.10083	0.27215	0.64149	1.0	8790	1	-0.10083
UBE2B	4	0.49725	0.54932	0.976208	10377	2	-0.088371	0.86059	0.9476	1.0	16648	0	-0.088371
SRD5A3-AS1	2	0.49728	0.47095	0.976208	10378	1	-0.2662	0.62049	0.77127	1.0	13243	0	-0.2662
RASA4EP	1	0.49731	0.39085	0.976208	10379	0	-0.10658	0.50269	0.60915	1.0	12228	0	-0.10658
LHX2	4	0.49733	0.54932	0.976208	10380	2	0.15851	0.11519	0.32985	1.0	5822	2	0.15851
BLVRB	4	0.49737	0.54932	0.976208	10381	2	-0.46069	0.60387	0.8266	1.0	13099	1	-0.46069
CHCHD7	4	0.49743	0.54932	0.976208	10382	1	0.0029952	0.65126	0.85127	1.0	13562	1	0.0029952
PPP1R16B	4	0.49759	0.54932	0.976208	10383	1	0.43891	0.11296	0.32985	1.0	5754	3	0.43891
