id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GLOD4	3	0.66984	0.43255	0.743457	13131	1	0.23373	0.66098	0.78562	1.0	13568	1	0.23373
KLF17	3	0.6699	0.43255	0.743457	13132	1	0.083333	0.70143	0.81972	1.0	14189	1	0.083333
SDF4	3	0.66994	0.43255	0.743457	13133	1	-0.096785	0.85467	0.93613	1.0	17121	0	-0.096785
L3MBTL3	3	0.66996	0.43255	0.743457	13134	1	0.086695	0.13408	0.34061	1.0	5426	1	0.086695
OR2G3	3	0.66998	0.43255	0.743457	13135	1	0.62211	0.078536	0.23712	1.0	3975	2	0.62211
THUMPD2	3	0.67004	0.43255	0.743457	13136	1	-0.22993	0.18108	0.39844	1.0	6560	1	-0.22993
TP63	3	0.67006	0.43255	0.743457	13137	1	0.54225	0.13848	0.347	1.0	5554	2	0.54225
ENSG00000285708	3	0.67012	0.43255	0.743457	13138	1	0.18391	0.1021	0.2829	1.0	4584	1	0.18391
FOXP1	3	0.67012	0.43255	0.743457	13139	1	0.18391	0.1021	0.2829	1.0	4585	1	0.18391
INSIG2	3	0.67044	0.43255	0.743457	13140	1	0.064734	0.68964	0.81508	1.0	14000	1	0.064734
ONECUT1	3	0.67046	0.43255	0.743457	13141	1	0.18657	0.51206	0.69036	1.0	11607	1	0.18657
DAGLB	3	0.6705	0.43255	0.743457	13142	1	-0.23385	0.59164	0.73402	1.0	12612	1	-0.23385
PCDHGA6	3	0.67069	0.43255	0.743457	13143	1	-0.020553	0.86356	0.93975	1.0	17309	0	-0.020553
ZBTB1	3	0.67079	0.43255	0.743457	13144	1	-0.15942	0.71068	0.82893	1.0	14329	1	-0.15942
USP21	3	0.67081	0.43255	0.743457	13145	1	-0.19073	0.87623	0.94624	1.0	17567	0	-0.19073
LMBR1L	3	0.67086	0.43255	0.743457	13146	1	0.44604	0.18451	0.40572	1.0	6634	2	0.44604
REST	3	0.671	0.43255	0.743457	13147	1	-0.24267	0.68093	0.8086	1.0	13850	1	-0.24267
GK2	3	0.67104	0.43255	0.743457	13148	1	0.12402	0.4394	0.64711	1.0	10821	1	0.12402
FMO4	3	0.67111	0.43255	0.743457	13149	1	0.48353	0.15601	0.36198	1.0	5980	2	0.48353
PCCA	3	0.67127	0.43255	0.743457	13150	1	0.42642	0.17094	0.38984	1.0	6341	2	0.42642
PRKCZ	3	0.67129	0.43255	0.743457	13151	1	-0.16084	0.45154	0.65357	1.0	10954	1	-0.16084
FRAT1	3	0.67138	0.43255	0.743457	13152	1	0.40628	0.1927	0.42096	1.0	6852	2	0.40628
PARP4	3	0.6714	0.43255	0.743457	13153	1	0.30743	0.25837	0.53141	1.0	8416	2	0.30743
Pseudogene_59	3	0.67146	0.43343	0.744861	13154	1	0.22253	0.2451	0.51698	1.0	8083	2	0.22253
Pseudogene_549	3	0.67146	0.43343	0.744861	13155	1	-0.2035	0.65092	0.77507	1.0	13400	1	-0.2035
SLC25A53	2	0.67147	0.51738	0.818258	13156	0	0.37854	0.094673	0.23982	1.0	4388	1	0.37854
CYB5D2	3	0.67158	0.43432	0.746207	13157	1	0.34107	0.22203	0.47275	1.0	7518	2	0.34107
CT55	3	0.67165	0.43432	0.746207	13158	1	-0.13546	0.75574	0.86743	1.0	15137	0	-0.13546
PAQR9	3	0.67167	0.43432	0.746207	13159	1	0.17687	0.67187	0.79941	1.0	13734	1	0.17687
Pseudogene_496	3	0.67173	0.43523	0.747596	13160	1	0.3772	0.21285	0.45407	1.0	7310	2	0.3772
Pseudogene_285	3	0.67173	0.43523	0.747596	13161	1	0.58691	0.08097	0.24065	1.0	4038	2	0.58691
Pseudogene_544	3	0.67173	0.43523	0.747596	13162	1	0.02507	0.61	0.7474	1.0	12869	1	0.02507
MYEOV	3	0.67179	0.43613	0.748241	13163	1	0.19285	0.37542	0.61114	1.0	10173	1	0.19285
