LOC100129098
MUC8
LOC100288966
GPR75-ASB3
LOC100507221
PHOSPHO2-KLHL23
ZNF664-RFLNA
LOC100533997
TNFAIP8L2-SCNM1
LOC100652777
LOC100653133
LOC100996598
LOC100996696
LOC100996701
LOC101059915
LOC101060212
LOC101060341
LOC101927180
LOC101927345
LOC101927375
LOC101928044
ARL4AP5
LOC101929601
LOC101929627
LOC101929805
LOC101929937
LOC101930434
LOC102723382
LOC102723407
LOC102723451
LOC102723475
LOC102723502
LOC102723532
LOC102723553
LOC102723573
LOC102723655
LOC102723713
LOC102723728
LOC102723750
LOC102723934
UBE2V1P16
LOC102723971
LOC102723996
LOC102724014
LOC102724023
LOC102724052
LOC102724117
LOC102724159
LOC102724197
LOC102724200
LOC102724334
LOC102724428
LOC102724474
LOC102724560
LOC102724594
LOC102724652
LOC102724737
LOC102724813
LOC102724877
LOC102724971
LOC105369591
LOC105369669
LOC105369787
LOC105370092
LOC105370706
LOC105371206
LOC105371216
LOC105371253
LOC105371932
LOC105372073
LOC105372204
LOC105372704
LOC105373071
LOC105373091
LOC105373146
ERVFC1
LOC105373397
LOC105373989
LOC105374355
LOC105375012
LOC105375107
LOC105375112
LOC105375116
LOC105375434
LOC105375816
LOC105375817
LOC105375947
LOC105376335
SLC30A4-AS1
LOC105376722
LOC105377015
LOC105377805
LOC105377864
LOC105378148
LOC105378947
LOC105379198
LOC105379199
LOC105379417
LOC105379473
LOC105379504
LOC105379522
LOC105379545
LOC105379554
LOC105379561
PRH1-TAS2R14
TBC1D7-LOC100130357
CNPY3-GNMT
SETDB2-PHF11
LOC107983958
LOC107983983
LOC107983987
LOC107983989
LOC107984126
LOC107984227
PPIAP40
LOC107984365
LOC107984449
LOC107984732
LOC107984876
LOC107984936
LOC107984956
LOC107985043
LOC107985149
LINC02798
LOC107985567
LOC107985729
PPIAP60
LOC107985876
LOC107985915
LOC107986012
LOC107986346
LOC107986372
LOC107986373
LOC107986375
LOC107986768
LOC107986800
LOC107986837
LOC107986860
LOC107986982
LOC107987004
LOC107987020
LOC107987025
LOC107987042
LOC107987067
LOC107987236
LOC107987269
LOC107987288
LOC107987371
LOC107987372
ERV3-1-ZNF117
ZNF765-ZNF761
ZNF660-ZNF197
MMP24-AS1-EDEM2
CRYZL2P-SEC16B
LOC112267855
LOC112267897
LOC112267908
LOC112267968
LOC112267992
LOC112268016
LOC112268044
LOC112268076
LOC112268080
LOC112268119
LOC112268145
ZNF470-DT
LOC112268260
LOC112268307
LOC112268317
HIGD2AP2
LOC112268458
LOC112268470
LOC112694756
LOC114841035
TSC22D4-C7ORF61
LOC122319696
LOC122394732
LOC122455340
LOC122455342
LOC122513141
LOC122526780
LOC122539214
RIPPLY2-CYB5R4
TPD52-MRPS28
LOC124900163
LOC124900164
LOC124900165
LOC124900172
LOC124900173
LOC124900189
LOC124900192
LOC124900193
LOC124900214
LOC124900217
LOC124900251
LOC124900252
LOC124900275
LOC124900276
LOC124900290
LOC124900301
LOC124900338
LOC124900372
LOC124900374
LOC124900388
LOC124900389
LOC124900416
LOC124900417
LOC124900418
LOC124900420
LOC124900467
LOC124900476
LOC124900512
LOC124900597
LOC124900641
LOC124900642
LOC124900646
LOC124900647
LOC124900661
LOC124900692
LOC124900752
LOC124900837
LOC124900839
LOC124900844
LOC124900855
LOC124900866
LOC124900867
LOC124900868
LOC124900940
LOC124900971
LOC124900986
LOC124900992
LOC124900993
LOC124900994
LOC124900995
LOC124900996
LOC124900997
LOC124900998
LOC124901001
LOC124901030
LOC124901069
LOC124901104
LOC124901110
LOC124901141
LOC124901163
LOC124901165
LOC124901178
LOC124901225
LOC124901227
LOC124901228
LOC124901229
LOC124901231
LOC124901232
LOC124901234
LOC124901235
LOC124901299
LOC124901350
LOC124901354
LOC124901355
LOC124901373
LOC124901415
LOC124901418
LOC124901446
LOC124901449
LOC124901481
LOC124901482
LOC124901483
LOC124901495
LOC124901498
LOC124901580
LOC124901637
LOC124901638
LOC124901639
LOC124901643
LOC124901644
LOC124901645
LOC124901646
LOC124901647
LOC124901648
LOC124901649
LOC124901650
LOC124901651
LOC124901652
LOC124901689
LOC124901693
LOC124901712
LOC124901780
LOC124901794
LOC124901797
LOC124901798
LOC124901803
LOC124901807
LOC124901818
LOC124901819
LOC124901820
LOC124901866
LOC124901867
LOC124901868
LOC124901872
LOC124901892
LOC124901993
LOC124902042
LOC124902048
LOC124902050
LOC124902053
LOC124902071
LOC124902106
LOC124902107
LOC124902135
LOC124902171
LOC124902201
LOC124902206
LOC124902211
LOC124902215
LOC124902313
LOC124902325
LOC124902361
LOC124902363
LOC124902392
LOC124902393
LOC124902420
LOC124902436
LOC124902461
LOC124902474
LOC124902508
LOC124902528
LOC124902530
LOC124902531
LOC124902536
LOC124902551
LOC124902561
LOC124902565
LOC124902601
LOC124902602
LOC124902605
LOC124902608
LOC124902669
LOC124902693
LOC124902694
LOC124902704
LOC124902713
LOC124902738
LOC124902766
LOC124902802
LOC124902805
LOC124902806
LOC124902807
LOC124902875
LOC124902876
LOC124902886
LOC124902894
LOC124902897
LOC124902898
LOC124902928
LOC124902942
LOC124903061
LOC124903067
LOC124903090
LOC124903130
LOC124903151
LOC124903162
LOC124903164
LOC124903173
LOC124903185
LOC124903206
LOC124903211
LOC124903217
LOC124903219
LOC124903229
LOC124903233
LOC124903248
LOC124903276
LOC124903317
LOC124903319
LOC124903372
LOC124903391
LOC124903401
LOC124903404
LOC124903405
LOC124903406
LOC124903407
LOC124903408
LOC124903441
LOC124903442
LOC124903450
LOC124903452
LOC124903470
