id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Sgcb	18	0.62236	0.92141	1.0	2575	6	-3.666	0.9419	0.92138	0.982358	2675	0	-3.666
H2-M10.3	20	0.62324	0.92859	1.0	2576	7	-3.7005	0.51949	0.4466	0.874234	1470	0	-3.7005
Olfr299	19	0.62447	0.92486	1.0	2577	7	-3.4772	0.73874	0.67044	0.921069	2078	0	-3.4772
Ghr	20	0.62473	0.92904	1.0	2578	9	-3.6629	0.64205	0.56615	0.893599	1788	0	-3.6629
Olfr821	20	0.62495	0.92919	1.0	2579	9	-3.8198	0.61874	0.5389	0.893599	1718	0	-3.8198
Cntn2	20	0.62534	0.92948	1.0	2580	7	-3.559	0.14591	0.14675	0.859701	412	0	-3.559
Tmem106b	20	0.62594	0.92975	1.0	2581	7	-3.445	0.51949	0.4466	0.874234	1460	0	-3.445
Olfr507	19	0.62718	0.92582	1.0	2582	8	-3.4772	0.61527	0.54562	0.893599	1713	0	-3.4772
H2-Q4	20	0.62746	0.92994	1.0	2583	6	-3.4481	0.16235	0.15696	0.859701	457	0	-3.4481
Glra3	18	0.62764	0.92357	1.0	2584	5	-3.3279	0.20901	0.19965	0.859701	587	0	-3.3279
Tm4sf1	20	0.62871	0.93053	1.0	2585	9	-3.5948	0.57436	0.50986	0.893438	1613	0	-3.5948
Olfr263	20	0.63228	0.93167	1.0	2586	7	-3.3055	0.18468	0.17743	0.859701	519	0	-3.3055
Slc39a14	19	0.63286	0.92715	1.0	2587	7	-3.6121	0.0516	0.037363	0.691901	143	0	-3.6121
Olfr1444	20	0.63461	0.93294	1.0	2588	7	-3.6511	0.17698	0.16563	0.859701	506	0	-3.6511
Slco1c1	20	0.63572	0.93321	1.0	2589	6	-3.3447	0.061936	0.04659	0.727615	172	0	-3.3447
Olfr734	18	0.6382	0.92723	1.0	2590	5	-3.4869	0.13963	0.14045	0.859701	385	0	-3.4869
Pcdhga10	18	0.63962	0.9277	1.0	2591	5	-3.5976	0.34348	0.30524	0.859701	977	0	-3.5976
Olfr1423	19	0.6406	0.93005	1.0	2592	9	-3.6775	0.78662	0.7265	0.930695	2223	0	-3.6775
Olfr137	18	0.64074	0.92815	1.0	2593	8	-3.7915	0.60332	0.52891	0.893438	1682	0	-3.7915
Ptger4	20	0.64079	0.93454	1.0	2594	5	-3.4436	0.44999	0.39183	0.86208	1290	0	-3.4436
Tm9sf3	19	0.64331	0.93124	1.0	2595	9	-3.5172	0.24579	0.24135	0.859701	692	0	-3.5172
Hcar1	20	0.64435	0.93573	1.0	2596	8	-3.7895	0.091672	0.078451	0.803873	262	0	-3.7895
Grin2c	20	0.64549	0.93609	1.0	2597	7	-3.7796	0.52942	0.46351	0.886569	1500	0	-3.7796
Htr1f	18	0.6455	0.92989	1.0	2598	6	-3.5362	0.38113	0.32791	0.859701	1084	0	-3.5362
Glp2r	20	0.6482	0.93661	1.0	2599	8	-3.4409	0.03867	0.031271	0.691901	115	0	-3.4409
Tmem95	20	0.64972	0.93694	1.0	2600	8	-3.7831	0.074836	0.061776	0.803873	211	0	-3.7831
Olfr924	20	0.65055	0.93714	1.0	2601	7	-3.4295	0.091672	0.078451	0.803873	254	0	-3.4295
Npy4r	20	0.65145	0.93717	1.0	2602	8	-3.694	0.42389	0.365	0.859701	1197	0	-3.694
Olfr1270	19	0.65408	0.93552	1.0	2603	9	-3.818	0.55579	0.49329	0.893438	1563	0	-3.818
Gpr75	20	0.65444	0.93796	1.0	2604	9	-3.6169	0.52942	0.46351	0.886569	1490	0	-3.6169
Synb	4	0.655	0.79979	1.0	2605	2	-3.5594	0.26671	0.2276	0.859701	749	0	-3.5594
Glra4	20	0.65563	0.93832	1.0	2606	5	-3.0506	0.69267	0.61215	0.899961	1946	0	-3.0506
Htr2c	20	0.65575	0.93841	1.0	2607	6	-3.4199	0.26737	0.26301	0.859701	750	0	-3.4199
Prom1	20	0.65793	0.93896	1.0	2608	6	-3.6127	0.63413	0.56247	0.893599	1758	0	-3.6127
Slc19a1	18	0.66038	0.93504	1.0	2609	8	-3.7984	0.055919	0.042725	0.727615	163	0	-3.7984
Olfr166	20	0.66046	0.9397	1.0	2610	8	-3.6246	0.13973	0.13982	0.859701	397	0	-3.6246
Olfr1046	20	0.66062	0.93972	1.0	2611	5	-3.4892	0.37347	0.33295	0.859701	1067	0	-3.4892
H2-T23	20	0.66307	0.94058	1.0	2612	5	-3.5115	0.62625	0.55119	0.893599	1739	0	-3.5115
Olfr77	20	0.66372	0.94085	1.0	2613	9	-3.6422	0.080532	0.069392	0.803873	222	0	-3.6422
Cd59a	18	0.66454	0.93641	1.0	2614	8	-3.7795	0.72669	0.65467	0.921069	2026	0	-3.7795
Tshr	20	0.66468	0.94092	1.0	2615	9	-3.6474	0.40286	0.35196	0.859701	1151	0	-3.6474
Atp1a2	20	0.66482	0.94097	1.0	2616	7	-3.5342	0.5005	0.42702	0.86643	1384	0	-3.5342
Olfr1454	20	0.66579	0.94113	1.0	2617	6	-3.39	0.41327	0.35718	0.859701	1167	0	-3.39
Olfr747	19	0.66606	0.94002	1.0	2618	5	-3.3428	0.6484	0.56593	0.893599	1806	0	-3.3428
Olfr430	20	0.66642	0.9414	1.0	2619	9	-3.6474	0.091672	0.078451	0.803873	264	0	-3.6474
Olfr1271	20	0.66642	0.9414	1.0	2620	9	-3.6119	0.83798	0.79156	0.952925	2363	0	-3.6119
Olfr170	20	0.66642	0.9414	1.0	2621	9	-3.7951	0.30301	0.28716	0.859701	863	0	-3.7951
Ptprc	20	0.66642	0.9414	1.0	2622	9	-3.5927	0.75045	0.68359	0.921069	2111	0	-3.5927
Olfr1162	20	0.66642	0.9414	1.0	2623	9	-3.5703	0.22074	0.20849	0.859701	628	0	-3.5703
Atp1b4	20	0.66728	0.9416	1.0	2624	8	-3.3434	0.40286	0.35196	0.859701	1154	0	-3.3434
Cybb	20	0.66728	0.9416	1.0	2625	7	-3.7262	0.75656	0.68714	0.921069	2120	0	-3.7262
Slamf6	20	0.66823	0.94198	1.0	2626	8	-3.4193	0.48231	0.41025	0.864664	1345	0	-3.4193
Nlgn2	18	0.66851	0.93798	1.0	2627	8	-3.7419	0.31757	0.2882	0.859701	896	0	-3.7419
Olfr547	16	0.66891	0.93315	1.0	2628	5	-3.4243	0.40333	0.34218	0.859701	1159	0	-3.4243
Vmn1r67	20	0.67095	0.94288	1.0	2629	8	-3.4211	0.59842	0.52812	0.893438	1674	0	-3.4211
Slc5a12	18	0.67139	0.93918	1.0	2630	8	-3.6113	0.25324	0.24954	0.859701	712	0	-3.6113
Tmem37	20	0.67144	0.94294	1.0	2631	7	-3.4729	0.38321	0.34119	0.859701	1098	0	-3.4729
Slc24a5	20	0.67292	0.9431	1.0	2632	8	-3.6422	0.85015	0.80138	0.952925	2405	0	-3.6422
Tmem158	20	0.6733	0.94317	1.0	2633	8	-3.5488	0.72701	0.66071	0.921069	2033	0	-3.5488
Igsf8	20	0.6733	0.94317	1.0	2634	9	-3.7641	0.34594	0.31441	0.859701	993	0	-3.7641
Chrm2	20	0.67394	0.94333	1.0	2635	7	-3.5741	0.27708	0.27201	0.859701	789	0	-3.5741
Ermap	20	0.67394	0.94333	1.0	2636	7	-3.6349	0.03867	0.031271	0.691901	109	0	-3.6349
Calcrl	20	0.67409	0.94343	1.0	2637	9	-3.7344	0.50996	0.43412	0.86643	1430	0	-3.7344
Epcam	20	0.6761	0.944	1.0	2638	7	-3.7053	0.48231	0.41025	0.864664	1339	0	-3.7053
Ccr3	20	0.67728	0.94476	1.0	2639	9	-3.4557	0.45989	0.39802	0.864664	1307	0	-3.4557
Mrgprg	20	0.68017	0.94554	1.0	2640	7	-3.6712	0.84212	0.79474	0.952925	2381	0	-3.6712
Lrrc4b	18	0.68019	0.94182	1.0	2641	8	-3.6775	0.65418	0.57538	0.893599	1832	0	-3.6775
Olfr1093	20	0.68332	0.94635	1.0	2642	8	-3.6665	0.64205	0.56615	0.893599	1779	0	-3.6665
S1pr1	20	0.68338	0.94654	1.0	2643	9	-3.7051	0.87947	0.83907	0.964081	2479	0	-3.7051
Dag1	20	0.68625	0.94762	1.0	2644	5	-3.4028	0.34594	0.31441	0.859701	984	0	-3.4028
Tlr7	20	0.68706	0.94786	1.0	2645	8	-3.3321	0.18468	0.17743	0.859701	528	0	-3.3321
Skint7	20	0.6892	0.94877	1.0	2646	8	-3.7221	0.2019	0.19707	0.859701	577	0	-3.7221
Cd160	20	0.69142	0.94945	1.0	2647	7	-3.5368	0.2851	0.27517	0.859701	804	0	-3.5368
Ebp	20	0.69308	0.94996	1.0	2648	8	-3.7453	0.93571	0.91191	0.979893	2660	0	-3.7453
Trabd2b	20	0.69554	0.9506	1.0	2649	6	-3.5285	0.0316	0.027397	0.691901	87	0	-3.5285
Slco4a1	20	0.69719	0.95132	1.0	2650	7	-3.6218	0.46789	0.40051	0.864664	1319	0	-3.6218
Dsc1	18	0.69769	0.94853	1.0	2651	5	-3.2604	0.25324	0.24954	0.859701	710	0	-3.2604
Umodl1	19	0.69837	0.9506	1.0	2652	8	-3.7175	0.73252	0.6671	0.921069	2042	0	-3.7175
Slc38a11	19	0.69917	0.95081	1.0	2653	8	-3.7255	0.23679	0.23248	0.859701	659	0	-3.7255
Olfr1257	20	0.70059	0.95252	1.0	2654	9	-3.7829	0.91878	0.88902	0.974241	2603	0	-3.7829
Ifngr1	20	0.70255	0.95304	1.0	2655	9	-3.7797	0.091672	0.078451	0.803873	261	0	-3.7797
Slc38a9	20	0.70255	0.95304	1.0	2656	9	-3.7841	0.27708	0.27201	0.859701	787	0	-3.7841
Olfr1090	20	0.70289	0.95314	1.0	2657	7	-3.5489	0.20538	0.19869	0.859701	579	0	-3.5489
Dsg2	20	0.70408	0.95337	1.0	2658	7	-3.7614	0.95087	0.933	0.986498	2701	0	-3.7614
Mc1r	20	0.70439	0.95342	1.0	2659	8	-3.5508	0.76338	0.69193	0.921069	2148	0	-3.5508
P2ry14	20	0.70562	0.95401	1.0	2660	6	-3.4806	0.67388	0.59325	0.899961	1870	0	-3.4806
Olfr1507	20	0.70562	0.95401	1.0	2661	7	-3.475	0.091672	0.078451	0.803873	267	0	-3.475
