id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Slc39a5	20	0.066285	0.28342	0.946727	841	11	-4.0873	0.15728	0.16058	0.882295	448	0	-4.0873
Gm12169	18	0.06649	0.27433	0.946727	842	11	-4.0194	0.97605	0.96508	0.993624	2775	0	-4.0194
Rpn1	20	0.066617	0.28361	0.946727	843	13	-4.1558	0.02934	0.035296	0.873617	81	0	-4.1558
Scn11a	20	0.066794	0.28392	0.946727	844	12	-4.0997	0.49523	0.43411	0.893868	1374	0	-4.0997
Dscaml1	20	0.066829	0.28414	0.946727	845	11	-4.18	0.7154	0.65321	0.929375	2001	0	-4.18
Slc46a1	20	0.066829	0.28414	0.946727	846	11	-4.2236	0.093188	0.08798	0.879609	260	0	-4.2236
Neto1	20	0.067084	0.28467	0.946727	847	11	-4.1108	0.72899	0.66643	0.929375	2043	0	-4.1108
Fam189b	20	0.067085	0.28471	0.946727	848	9	-3.7873	0.49523	0.43411	0.893868	1370	0	-3.7873
Olfr1267-ps1	20	0.067124	0.28483	0.946727	849	11	-4.0047	0.77762	0.72273	0.940601	2187	0	-4.0047
C5ar2	20	0.067211	0.28503	0.946727	850	11	-3.971	0.47677	0.41754	0.891333	1329	0	-3.971
Rtn4r	20	0.067396	0.28511	0.946727	851	11	-3.9674	0.60714	0.53684	0.90617	1688	0	-3.9674
H2-M1	20	0.067505	0.28529	0.946727	852	11	-4.063	0.87693	0.84092	0.971189	2462	0	-4.063
Tspan1	18	0.067934	0.2777	0.946727	853	11	-4.1577	0.53094	0.47587	0.90617	1483	0	-4.1577
Fzd6	20	0.068018	0.2868	0.946727	854	4	-3.16	0.23298	0.23434	0.882295	655	0	-3.16
Olfr750	20	0.068168	0.28726	0.946727	855	10	-3.9811	0.83494	0.79411	0.961935	2345	0	-3.9811
Lypd1	20	0.068168	0.28726	0.946727	856	11	-4.1335	0.058802	0.054332	0.879609	175	0	-4.1335
Cldnd1	20	0.06864	0.28802	0.946727	857	9	-3.6245	0.17199	0.16919	0.882295	484	0	-3.6245
Slc9a3	20	0.068737	0.28812	0.946727	858	12	-4.1546	0.94256	0.92289	0.986842	2671	0	-4.1546
Gabra5	20	0.068895	0.28845	0.946727	859	10	-3.8568	0.36791	0.33565	0.882295	1053	0	-3.8568
Pik3ip1	20	0.068942	0.28852	0.946727	860	13	-4.0958	0.9918	0.9868	0.995964	2829	0	-4.0958
Grm4	19	0.069188	0.28634	0.946727	861	7	-3.7936	0.37098	0.33393	0.882295	1060	0	-3.7936
Pcdha7	16	0.069198	0.27202	0.946727	862	10	-4.0187	0.83257	0.79245	0.961935	2343	0	-4.0187
Unc93a	15	0.06958	0.276	0.946727	863	8	-3.9392	0.89041	0.86222	0.974386	2513	0	-3.9392
Sorl1	18	0.069846	0.28203	0.946727	864	11	-4.1678	0.29877	0.28036	0.882295	850	0	-4.1678
