id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Tpbgl	19	0.19581	0.5668	1.0	1604	8	-3.7855	0.25933	0.25614	0.866293	732	0	-3.7855
Tas2r118	20	0.19597	0.56569	1.0	1605	8	-3.6432	0.25023	0.24514	0.866293	715	0	-3.6432
Olfr1508	20	0.19633	0.56622	1.0	1606	11	-3.9896	0.6877	0.61078	0.905623	1918	0	-3.9896
Olfr1054	20	0.19644	0.56629	1.0	1607	8	-3.4002	0.043621	0.031475	0.66405	132	0	-3.4002
Olfr576	20	0.19688	0.56721	1.0	1608	11	-4.0903	0.31749	0.29769	0.866293	888	0	-4.0903
Psg26	20	0.19768	0.56857	1.0	1609	12	-4.0173	0.31749	0.29769	0.866293	894	0	-4.0173
Scn2a	20	0.19768	0.56857	1.0	1610	12	-3.9523	0.38457	0.34135	0.866293	1099	0	-3.9523
Scn1a	19	0.19774	0.56962	1.0	1611	11	-3.9906	0.14814	0.14778	0.866293	428	0	-3.9906
Olfr1077-ps1	20	0.1984	0.57037	1.0	1612	10	-3.6837	0.61285	0.53717	0.899395	1706	0	-3.6837
Olfr186	20	0.19886	0.57129	1.0	1613	11	-3.9761	0.70677	0.63534	0.917888	1974	0	-3.9761
H2-M11	20	0.19908	0.57142	1.0	1614	7	-3.7562	0.17809	0.17421	0.866293	509	0	-3.7562
Il5ra	20	0.19995	0.57267	1.0	1615	8	-3.4487	0.11298	0.098748	0.837456	339	0	-3.4487
Lag3	20	0.20029	0.57437	1.0	1616	11	-3.9702	0.43308	0.38033	0.866293	1235	0	-3.9702
Olfr701	20	0.20029	0.575	1.0	1617	9	-3.6263	0.20391	0.19553	0.866293	586	0	-3.6263
Olfr503	20	0.20094	0.5758	1.0	1618	8	-3.703	0.13308	0.13653	0.866293	376	0	-3.703
Pcdh7	20	0.20151	0.57636	1.0	1619	11	-3.9838	0.75201	0.68475	0.926117	2104	0	-3.9838
