,sgRNA,gene,z_scored_sgRNA_lfc
17879,Vienna_GAA_1-Vienna_GAA_4,GAA,-1.7365018082461872
17880,Vienna_GAA_2-Vienna_GAA_5,GAA,-2.071605819759042
17881,Vienna_GAA_3-Vienna_GAA_6,GAA,-0.5203685830518513
17882,Vienna_GAB1_1-Vienna_GAB1_4,GAB1,-9.196139058571935
17883,Vienna_GAB1_2-Vienna_GAB1_5,GAB1,-7.189189294390238
17884,Vienna_GAB1_3-Vienna_GAB1_6,GAB1,-8.792078739669812
17885,Vienna_GAB2_1-Vienna_GAB2_4,GAB2,-1.6881560592399927
17886,Vienna_GAB2_2-Vienna_GAB2_5,GAB2,-1.027109948758305
17887,Vienna_GAB2_3-Vienna_GAB2_6,GAB2,-2.44927172408383
17888,Vienna_GAB3_1-Vienna_GAB3_4,GAB3,-1.61915755268334
17889,Vienna_GAB3_2-Vienna_GAB3_5,GAB3,-1.5845447969495263
17890,Vienna_GAB3_3-Vienna_GAB3_6,GAB3,-0.17044476083104163
17891,Vienna_GAB4_1-Vienna_GAB4_4,GAB4,-3.3460986448761094
17892,Vienna_GAB4_3-Vienna_GAB4_6,GAB4,-0.440052079434827
17893,Vienna_GABARAP_1-Vienna_GABARAP_4,GABARAP,-2.0788764390275825
17894,Vienna_GABARAP_2-Vienna_GABARAP_5,GABARAP,-1.67814561762221
17895,Vienna_GABARAP_3-Vienna_GABARAP_6,GABARAP,-3.8183643862130006
17896,Vienna_GABARAPL1_1-Vienna_GABARAPL1_4,GABARAPL1,-3.2292551844558504
17897,Vienna_GABARAPL1_2-Vienna_GABARAPL1_5,GABARAPL1,-1.6195215018437215
17898,Vienna_GABARAPL1_3-Vienna_GABARAPL1_6,GABARAPL1,-2.653549240889034
17899,Vienna_GABARAPL2_1-Vienna_GABARAPL2_4,GABARAPL2,-0.46271466688678303
17900,Vienna_GABARAPL2_2-Vienna_GABARAPL2_5,GABARAPL2,-1.6596255680919363
17901,Vienna_GABARAPL2_3-Vienna_GABARAPL2_6,GABARAPL2,-1.7565875787789131
17902,Vienna_GABBR1_1-Vienna_GABBR1_4,GABBR1,-1.3670199271120211
17903,Vienna_GABBR1_2-Vienna_GABBR1_5,GABBR1,-2.205616109820256
17904,Vienna_GABBR1_3-Vienna_GABBR1_6,GABBR1,-0.7177014880629274
17905,Vienna_GABBR2_1-Vienna_GABBR2_4,GABBR2,-0.30675330274328916
17906,Vienna_GABBR2_2-Vienna_GABBR2_5,GABBR2,0.17269790100700955
