,sgRNA,gene,z_scored_sgRNA_lfc
0,Vienna_A1BG_1-Vienna_A1BG_4,A1BG,-0.8681904811035915
1,Vienna_A1BG_2-Vienna_A1BG_5,A1BG,-1.7198871940529674
2,Vienna_A1BG_3-Vienna_A1BG_6,A1BG,-1.7278885050016544
3,Vienna_A1CF_1-Vienna_A1CF_4,A1CF,-3.2979545078592447
4,Vienna_A1CF_2-Vienna_A1CF_5,A1CF,-0.0585588048944023
5,Vienna_A1CF_3-Vienna_A1CF_6,A1CF,-2.156095158677886
6,Vienna_A2M_1-Vienna_A2M_4,A2M,0.3192492041876244
7,Vienna_A2M_2-Vienna_A2M_5,A2M,-0.009493206508857802
8,Vienna_A2M_3-Vienna_A2M_6,A2M,-0.3287460863449511
9,Vienna_A2ML1_2-Vienna_A2ML1_5,A2ML1,-1.313042535598681
10,Vienna_A2ML1_3-Vienna_A2ML1_6,A2ML1,-0.42312178053595684
11,Vienna_A3GALT2_1-Vienna_A3GALT2_4,A3GALT2,-0.4788100327732216
12,Vienna_A3GALT2_2-Vienna_A3GALT2_5,A3GALT2,-1.034385928533046
13,Vienna_A3GALT2_3-Vienna_A3GALT2_6,A3GALT2,-1.9251269289004298
14,Vienna_A4GALT_1-Vienna_A4GALT_4,A4GALT,-3.863476453649796
15,Vienna_A4GALT_2-Vienna_A4GALT_5,A4GALT,-2.183818262998999
16,Vienna_A4GALT_3-Vienna_A4GALT_6,A4GALT,-0.9344401371087835
17,Vienna_A4GNT_1-Vienna_A4GNT_4,A4GNT,-1.3608879078229597
18,Vienna_A4GNT_2-Vienna_A4GNT_5,A4GNT,-2.199841702473167
19,Vienna_A4GNT_3-Vienna_A4GNT_6,A4GNT,-0.2125688742835335
20,Vienna_AAAS_1-Vienna_AAAS_4,AAAS,-4.062662180655361
21,Vienna_AAAS_2-Vienna_AAAS_5,AAAS,-5.26009580589423
22,Vienna_AAAS_3-Vienna_AAAS_6,AAAS,-0.9271462025762532
23,Vienna_AACS_1-Vienna_AACS_4,AACS,-1.635627307364937
24,Vienna_AACS_2-Vienna_AACS_5,AACS,-1.1208993031217749
25,Vienna_AACS_3-Vienna_AACS_6,AACS,-0.08195308926296607
26,Vienna_AADAC_1-Vienna_AADAC_4,AADAC,0.1998685712388914
27,Vienna_AADAC_2-Vienna_AADAC_5,AADAC,-0.1276315265133919
28,Vienna_AADAC_3-Vienna_AADAC_6,AADAC,-0.5846416119240708
29,Vienna_AADACL2_1-Vienna_AADACL2_4,AADACL2,0.9015490067980657
30,Vienna_AADACL2_2-Vienna_AADACL2_5,AADACL2,-0.5901367810481766
31,Vienna_AADACL2_3-Vienna_AADACL2_6,AADACL2,-1.3922363959722732
32,Vienna_AADACL3_1-Vienna_AADACL3_4,AADACL3,-0.8284536624407874
33,Vienna_AADACL3_2-Vienna_AADACL3_5,AADACL3,-0.30259473602285625
34,Vienna_AADACL3_3-Vienna_AADACL3_6,AADACL3,-3.7287641955028508
35,Vienna_AADACL4_1-Vienna_AADACL4_4,AADACL4,-2.3479811213680635
36,Vienna_AADACL4_2-Vienna_AADACL4_5,AADACL4,-1.3098004526284772
37,Vienna_AADACL4_3-Vienna_AADACL4_6,AADACL4,0.8415837619108915
38,Vienna_AADAT_1-Vienna_AADAT_4,AADAT,-0.535726119064106
39,Vienna_AADAT_2-Vienna_AADAT_5,AADAT,-2.6387744664571917
40,Vienna_AADAT_3-Vienna_AADAT_6,AADAT,-1.3496683479296268
41,Vienna_AAED1_1-Vienna_AAED1_4,AAED1,-1.7982732596354696
42,Vienna_AAED1_2-Vienna_AAED1_5,AAED1,-1.0419834519210578
43,Vienna_AAED1_3-Vienna_AAED1_6,AAED1,0.021546108885709927
44,Vienna_AAGAB_1-Vienna_AAGAB_4,AAGAB,-5.448231781195677
45,Vienna_AAGAB_2-Vienna_AAGAB_5,AAGAB,-6.48497815948604
46,Vienna_AAGAB_3-Vienna_AAGAB_6,AAGAB,-0.7973381193989049
47,Vienna_AAK1_2-Vienna_AAK1_5,AAK1,-2.3483700764163906
48,Vienna_AAK1_3-Vienna_AAK1_6,AAK1,-1.7731207131832498
49,Vienna_AAMDC_1-Vienna_AAMDC_4,AAMDC,-5.303651179283835
50,Vienna_AAMDC_2-Vienna_AAMDC_5,AAMDC,-0.5090748526949671
51,Vienna_AAMDC_3-Vienna_AAMDC_6,AAMDC,-1.0253519883795763
52,Vienna_AAMP_1-Vienna_AAMP_4,AAMP,-8.12951841386684
53,Vienna_AAMP_2-Vienna_AAMP_5,AAMP,-7.973870395065019
54,Vienna_AAMP_3-Vienna_AAMP_6,AAMP,-7.258724241912858
55,Vienna_AANAT_1-Vienna_AANAT_4,AANAT,-1.4739059043716116
56,Vienna_AANAT_2-Vienna_AANAT_5,AANAT,-0.03589470481202518
57,Vienna_AANAT_3-Vienna_AANAT_6,AANAT,-1.19638713492567
58,Vienna_AAR2_1-Vienna_AAR2_4,AAR2,0.3684595805227127
59,Vienna_AAR2_2-Vienna_AAR2_5,AAR2,-0.9762661498360375
60,Vienna_AAR2_3-Vienna_AAR2_6,AAR2,-2.0000317284739855
61,Vienna_AARD_1-Vienna_AARD_4,AARD,-0.5528587723923633
62,Vienna_AARD_2-Vienna_AARD_5,AARD,-2.523910749693123
63,Vienna_AARD_3-Vienna_AARD_6,AARD,0.04535842759615146
64,Vienna_AARS_1-Vienna_AARS_4,AARS,-7.54393904771116
65,Vienna_AARS_2-Vienna_AARS_5,AARS,-8.55981805534457
66,Vienna_AARS_3-Vienna_AARS_6,AARS,-8.950811916438791
67,Vienna_AARS2_1-Vienna_AARS2_4,AARS2,-8.249113880598825
68,Vienna_AARS2_2-Vienna_AARS2_5,AARS2,-7.808824494323114
69,Vienna_AARS2_3-Vienna_AARS2_6,AARS2,-8.621965890436929
70,Vienna_AASDH_1-Vienna_AASDH_4,AASDH,-2.696121976494529
71,Vienna_AASDH_2-Vienna_AASDH_5,AASDH,-1.6466571769537295
72,Vienna_AASDH_3-Vienna_AASDH_6,AASDH,-1.2128166044903912
73,Vienna_AASDHPPT_1-Vienna_AASDHPPT_4,AASDHPPT,-5.678387412369654
74,Vienna_AASDHPPT_2-Vienna_AASDHPPT_5,AASDHPPT,-7.54393904771116
75,Vienna_AASDHPPT_3-Vienna_AASDHPPT_6,AASDHPPT,-7.034042430862644
76,Vienna_AASS_1-Vienna_AASS_4,AASS,-0.9594448984183549
77,Vienna_AASS_2-Vienna_AASS_5,AASS,-1.31065164284775
78,Vienna_AASS_3-Vienna_AASS_6,AASS,-2.8956433805018493
79,Vienna_AATF_1-Vienna_AATF_4,AATF,-6.608980265695115
80,Vienna_AATF_2-Vienna_AATF_5,AATF,-8.55981805534457
81,Vienna_AATF_3-Vienna_AATF_6,AATF,-8.148314475264042
82,Vienna_AATK_1-Vienna_AATK_4,AATK,-0.8284779868002126
83,Vienna_AATK_2-Vienna_AATK_5,AATK,-2.5003368253353258
84,Vienna_AATK_3-Vienna_AATK_6,AATK,-1.8056181851200608
85,Vienna_ABAT_1-Vienna_ABAT_4,ABAT,-0.45978100904515695
86,Vienna_ABAT_2-Vienna_ABAT_5,ABAT,-2.9685728496987993
87,Vienna_ABAT_3-Vienna_ABAT_6,ABAT,-0.5055935622713011
88,Vienna_ABCA1_1-Vienna_ABCA1_4,ABCA1,-0.4765373536137462
89,Vienna_ABCA1_2-Vienna_ABCA1_5,ABCA1,-1.279807323863422
90,Vienna_ABCA1_3-Vienna_ABCA1_6,ABCA1,-2.834120938639663
91,Vienna_ABCA10_1-Vienna_ABCA10_4,ABCA10,-0.7141488738388453
92,Vienna_ABCA10_2-Vienna_ABCA10_5,ABCA10,-0.8008794979830419
93,Vienna_ABCA10_3-Vienna_ABCA10_6,ABCA10,-2.2729375075497544
94,Vienna_ABCA12_1-Vienna_ABCA12_4,ABCA12,-2.080802111217765
95,Vienna_ABCA12_2-Vienna_ABCA12_5,ABCA12,-2.2336431171096147
96,Vienna_ABCA12_3-Vienna_ABCA12_6,ABCA12,-2.3844852540987094
97,Vienna_ABCA13_1-Vienna_ABCA13_4,ABCA13,-1.9758092997427787
98,Vienna_ABCA13_2-Vienna_ABCA13_5,ABCA13,-0.18448683992331327
99,Vienna_ABCA13_3-Vienna_ABCA13_6,ABCA13,-2.2446222757000935
100,Vienna_ABCA2_1-Vienna_ABCA2_4,ABCA2,-1.9385506919939166
101,Vienna_ABCA2_2-Vienna_ABCA2_5,ABCA2,-1.6006728122643739
102,Vienna_ABCA2_3-Vienna_ABCA2_6,ABCA2,-1.5899950915708319
103,Vienna_ABCA3_1-Vienna_ABCA3_4,ABCA3,2.317211164026806
104,Vienna_ABCA3_2-Vienna_ABCA3_5,ABCA3,-1.364195341160504
105,Vienna_ABCA3_3-Vienna_ABCA3_6,ABCA3,-3.9739187418538005
106,Vienna_ABCA4_1-Vienna_ABCA4_4,ABCA4,-3.1873513815563173
107,Vienna_ABCA4_2-Vienna_ABCA4_5,ABCA4,-2.4801590489197327
108,Vienna_ABCA4_3-Vienna_ABCA4_6,ABCA4,-3.1444386046538177
109,Vienna_ABCA5_1-Vienna_ABCA5_4,ABCA5,-2.4150877596253784
110,Vienna_ABCA5_2-Vienna_ABCA5_5,ABCA5,-1.2661284606382044
111,Vienna_ABCA5_3-Vienna_ABCA5_6,ABCA5,-4.112060715747149
112,Vienna_ABCA6_1-Vienna_ABCA6_4,ABCA6,-0.12900506994237076
113,Vienna_ABCA6_2-Vienna_ABCA6_5,ABCA6,-2.1786334810600985
114,Vienna_ABCA6_3-Vienna_ABCA6_6,ABCA6,-0.8343369474617668
115,Vienna_ABCA7_1-Vienna_ABCA7_4,ABCA7,-6.062766182631591
116,Vienna_ABCA7_2-Vienna_ABCA7_5,ABCA7,-2.2939304148951263
117,Vienna_ABCA7_3-Vienna_ABCA7_6,ABCA7,0.732659148563288
118,Vienna_ABCA8_1-Vienna_ABCA8_4,ABCA8,0.23316751752609705
119,Vienna_ABCA8_2-Vienna_ABCA8_5,ABCA8,0.4017392348450989
120,Vienna_ABCA8_3-Vienna_ABCA8_6,ABCA8,-2.38187322082511
121,Vienna_ABCA9_1-Vienna_ABCA9_4,ABCA9,0.325127498692557
122,Vienna_ABCA9_2-Vienna_ABCA9_5,ABCA9,0.03261980259133877
123,Vienna_ABCA9_3-Vienna_ABCA9_6,ABCA9,-2.2321710710304514
124,Vienna_ABCB1_1-Vienna_ABCB1_4,ABCB1,-1.771834877910438
125,Vienna_ABCB1_2-Vienna_ABCB1_5,ABCB1,-0.9699453354473309
126,Vienna_ABCB1_3-Vienna_ABCB1_6,ABCB1,-0.9508435539620246
127,Vienna_ABCB10_1-Vienna_ABCB10_4,ABCB10,-5.521021994348966
128,Vienna_ABCB10_2-Vienna_ABCB10_5,ABCB10,0.17465964359762948
129,Vienna_ABCB10_3-Vienna_ABCB10_6,ABCB10,-4.5045315700049615
130,Vienna_ABCB11_1-Vienna_ABCB11_4,ABCB11,-0.4245419395003377
131,Vienna_ABCB11_2-Vienna_ABCB11_5,ABCB11,-0.18810345393673664
132,Vienna_ABCB11_3-Vienna_ABCB11_6,ABCB11,-3.305109433507565
133,Vienna_ABCB4_1-Vienna_ABCB4_4,ABCB4,-0.8403572853615777
134,Vienna_ABCB4_2-Vienna_ABCB4_5,ABCB4,-0.6365310943448951
135,Vienna_ABCB4_3-Vienna_ABCB4_6,ABCB4,-0.9967307556502182
136,Vienna_ABCB5_1-Vienna_ABCB5_4,ABCB5,-1.2253543737820354
137,Vienna_ABCB5_2-Vienna_ABCB5_5,ABCB5,0.34393131680213845
138,Vienna_ABCB5_3-Vienna_ABCB5_6,ABCB5,-2.597256069242854
139,Vienna_ABCB6_1-Vienna_ABCB6_4,ABCB6,-0.7697690220619898
140,Vienna_ABCB6_2-Vienna_ABCB6_5,ABCB6,0.34157623125365744
141,Vienna_ABCB6_3-Vienna_ABCB6_6,ABCB6,-0.2228604930159771
142,Vienna_ABCB7_1-Vienna_ABCB7_4,ABCB7,-6.2894467624944355
143,Vienna_ABCB7_2-Vienna_ABCB7_5,ABCB7,-8.362971917582101
144,Vienna_ABCB7_3-Vienna_ABCB7_6,ABCB7,-7.136574880981299
145,Vienna_ABCB8_1-Vienna_ABCB8_4,ABCB8,-0.7920377938691405
146,Vienna_ABCB8_2-Vienna_ABCB8_5,ABCB8,-0.18879724095336384
147,Vienna_ABCB8_3-Vienna_ABCB8_6,ABCB8,0.2987586032748754
148,Vienna_ABCB9_1-Vienna_ABCB9_4,ABCB9,-1.829189733311467
149,Vienna_ABCB9_2-Vienna_ABCB9_5,ABCB9,-1.1230639241186164
150,Vienna_ABCB9_3-Vienna_ABCB9_6,ABCB9,-0.8204747291720347
151,Vienna_ABCC1_1-Vienna_ABCC1_4,ABCC1,-1.1417794729242576
152,Vienna_ABCC1_2-Vienna_ABCC1_5,ABCC1,-1.9283861402262146
153,Vienna_ABCC1_3-Vienna_ABCC1_6,ABCC1,-1.8473644657794266
154,Vienna_ABCC10_1-Vienna_ABCC10_4,ABCC10,-0.7644920404372576
155,Vienna_ABCC10_2-Vienna_ABCC10_5,ABCC10,-4.5639132362598165
156,Vienna_ABCC10_3-Vienna_ABCC10_6,ABCC10,-2.6989482161318206
157,Vienna_ABCC11_2-Vienna_ABCC11_5,ABCC11,-1.6223410893273755
158,Vienna_ABCC11_3-Vienna_ABCC11_6,ABCC11,-1.386895900240488
159,Vienna_ABCC12_1-Vienna_ABCC12_4,ABCC12,-3.3662343736104283
160,Vienna_ABCC12_2-Vienna_ABCC12_5,ABCC12,-2.068523400671504
161,Vienna_ABCC12_3-Vienna_ABCC12_6,ABCC12,-1.7489460518796953
162,Vienna_ABCC2_1-Vienna_ABCC2_4,ABCC2,-2.340341891356868
163,Vienna_ABCC2_2-Vienna_ABCC2_5,ABCC2,-0.394778958018104
164,Vienna_ABCC2_3-Vienna_ABCC2_6,ABCC2,0.4220748763009646
165,Vienna_ABCC3_1-Vienna_ABCC3_4,ABCC3,-1.0897411580048848
166,Vienna_ABCC3_2-Vienna_ABCC3_5,ABCC3,-0.8676053183448887
167,Vienna_ABCC3_3-Vienna_ABCC3_6,ABCC3,-9.080707408506791
168,Vienna_ABCC4_1-Vienna_ABCC4_4,ABCC4,-1.4685023398400097
169,Vienna_ABCC4_2-Vienna_ABCC4_5,ABCC4,-0.8687264148666953
170,Vienna_ABCC4_3-Vienna_ABCC4_6,ABCC4,-1.496866671960947
171,Vienna_ABCC5_1-Vienna_ABCC5_4,ABCC5,-0.11632210943639781
172,Vienna_ABCC5_2-Vienna_ABCC5_5,ABCC5,-1.5010008842833271
173,Vienna_ABCC5_3-Vienna_ABCC5_6,ABCC5,-0.5960011388097408
174,Vienna_ABCC6_1-Vienna_ABCC6_4,ABCC6,-4.455871583306722
175,Vienna_ABCC6_2-Vienna_ABCC6_5,ABCC6,-1.869183299571632
176,Vienna_ABCC6_3-Vienna_ABCC6_6,ABCC6,-0.6387814333612968
177,Vienna_ABCC8_1-Vienna_ABCC8_4,ABCC8,-1.562643540105607
178,Vienna_ABCC8_2-Vienna_ABCC8_5,ABCC8,0.42594822584600456
179,Vienna_ABCC8_3-Vienna_ABCC8_6,ABCC8,-0.7958566373283112
180,Vienna_ABCC9_1-Vienna_ABCC9_4,ABCC9,-2.255802128361145
181,Vienna_ABCC9_2-Vienna_ABCC9_5,ABCC9,-0.253257180652548
182,Vienna_ABCC9_3-Vienna_ABCC9_6,ABCC9,-8.51211557066087
183,Vienna_ABCD1_1-Vienna_ABCD1_4,ABCD1,-2.7243654371337436
184,Vienna_ABCD1_2-Vienna_ABCD1_5,ABCD1,-1.7319362424583455
185,Vienna_ABCD1_3-Vienna_ABCD1_6,ABCD1,-4.225482567667783
186,Vienna_ABCD2_1-Vienna_ABCD2_4,ABCD2,-1.1411608574920646
187,Vienna_ABCD2_2-Vienna_ABCD2_5,ABCD2,-5.445201578954391
188,Vienna_ABCD2_3-Vienna_ABCD2_6,ABCD2,-1.6831322207836024
189,Vienna_ABCD3_1-Vienna_ABCD3_4,ABCD3,-4.6575314643928
190,Vienna_ABCD3_2-Vienna_ABCD3_5,ABCD3,-7.047859992714774
191,Vienna_ABCD3_3-Vienna_ABCD3_6,ABCD3,-4.650632742465266
192,Vienna_ABCD4_1-Vienna_ABCD4_4,ABCD4,-1.5041210169190093
193,Vienna_ABCD4_2-Vienna_ABCD4_5,ABCD4,-2.383604310350777
194,Vienna_ABCD4_3-Vienna_ABCD4_6,ABCD4,-0.8504234077376596
195,Vienna_ABCE1_1-Vienna_ABCE1_4,ABCE1,-7.458161659592842
196,Vienna_ABCE1_2-Vienna_ABCE1_5,ABCE1,-8.9707551787901
197,Vienna_ABCE1_3-Vienna_ABCE1_6,ABCE1,-7.707242027185957
198,Vienna_ABCF1_1-Vienna_ABCF1_4,ABCF1,-9.277862665729254
199,Vienna_ABCF1_2-Vienna_ABCF1_5,ABCF1,-9.643357180203102
200,Vienna_ABCF1_3-Vienna_ABCF1_6,ABCF1,-8.02506864627336
201,Vienna_ABCF2_1-Vienna_ABCF2_4,ABCF2,-1.0380261903727814
202,Vienna_ABCF2_2-Vienna_ABCF2_5,ABCF2,-0.18414644033769234
203,Vienna_ABCF2_3-Vienna_ABCF2_6,ABCF2,-2.325773720881124
204,Vienna_ABCF3_1-Vienna_ABCF3_4,ABCF3,-0.8000953136521314
205,Vienna_ABCF3_2-Vienna_ABCF3_5,ABCF3,-1.6494682745411233
206,Vienna_ABCG1_1-Vienna_ABCG1_4,ABCG1,-1.2998043795956242
207,Vienna_ABCG1_2-Vienna_ABCG1_5,ABCG1,-3.8132861766878277
208,Vienna_ABCG1_3-Vienna_ABCG1_6,ABCG1,-0.6565514217597841
209,Vienna_ABCG2_1-Vienna_ABCG2_4,ABCG2,-1.3932942630308442
210,Vienna_ABCG2_2-Vienna_ABCG2_5,ABCG2,-2.51361289245041
211,Vienna_ABCG2_3-Vienna_ABCG2_6,ABCG2,-0.010511908613077018
212,Vienna_ABCG4_1-Vienna_ABCG4_4,ABCG4,-0.6266519813851978
213,Vienna_ABCG4_2-Vienna_ABCG4_5,ABCG4,-1.569419436900745
214,Vienna_ABCG4_3-Vienna_ABCG4_6,ABCG4,-2.5903995770657584
215,Vienna_ABCG5_1-Vienna_ABCG5_4,ABCG5,-0.5668719363277231
216,Vienna_ABCG5_2-Vienna_ABCG5_5,ABCG5,-1.0165236915246192
217,Vienna_ABCG5_3-Vienna_ABCG5_6,ABCG5,-1.2181619560707986
218,Vienna_ABCG8_1-Vienna_ABCG8_4,ABCG8,-1.364282676378619
219,Vienna_ABCG8_2-Vienna_ABCG8_5,ABCG8,-4.337607271705544
220,Vienna_ABCG8_3-Vienna_ABCG8_6,ABCG8,-2.0304641205779554
221,Vienna_ABHD1_1-Vienna_ABHD1_4,ABHD1,-2.2827987198725364
222,Vienna_ABHD1_2-Vienna_ABHD1_5,ABHD1,-2.6244931236142888
223,Vienna_ABHD1_3-Vienna_ABHD1_6,ABHD1,-0.033883261857994916
224,Vienna_ABHD10_1-Vienna_ABHD10_4,ABHD10,-1.001262856409047
225,Vienna_ABHD10_2-Vienna_ABHD10_5,ABHD10,0.5937085414869852
226,Vienna_ABHD10_3-Vienna_ABHD10_6,ABHD10,-2.3731122195158867
227,Vienna_ABHD11_1-Vienna_ABHD11_4,ABHD11,-2.4268378068377583
228,Vienna_ABHD11_2-Vienna_ABHD11_5,ABHD11,-1.6211972437259796
229,Vienna_ABHD11_3-Vienna_ABHD11_6,ABHD11,-5.418915550641927
230,Vienna_ABHD12_3-Vienna_ABHD12_6,ABHD12,-0.06275763151994808
231,Vienna_ABHD12B_1-Vienna_ABHD12B_4,ABHD12B,0.020688546816133312
232,Vienna_ABHD12B_2-Vienna_ABHD12B_5,ABHD12B,-0.7786807404418424
233,Vienna_ABHD12B_3-Vienna_ABHD12B_6,ABHD12B,-2.1527645349909195
234,Vienna_ABHD13_1-Vienna_ABHD13_4,ABHD13,-1.248356333525601
235,Vienna_ABHD13_2-Vienna_ABHD13_5,ABHD13,-0.23530954523761777
236,Vienna_ABHD13_3-Vienna_ABHD13_6,ABHD13,-1.9056921691441744
237,Vienna_ABHD14A_1-Vienna_ABHD14A_4,ABHD14A,-2.8521434739444578
238,Vienna_ABHD14A_3-Vienna_ABHD14A_6,ABHD14A,-1.8817989645832933
239,Vienna_ABHD14A_5-Vienna_ABHD14A_2,ABHD14A,-2.58616357971865
240,Vienna_ABHD14A-ACY1_1-Vienna_ABHD14A-ACY1_4,ABHD14A-ACY1,-9.729254892015655
241,Vienna_ABHD14A-ACY1_2-Vienna_ABHD14A-ACY1_5,ABHD14A-ACY1,-2.61907315581805
242,Vienna_ABHD14A-ACY1_3-Vienna_ABHD14A-ACY1_6,ABHD14A-ACY1,-1.4957946577992052
243,Vienna_ABHD14B_1-Vienna_ABHD14B_4,ABHD14B,-1.435504491887629
244,Vienna_ABHD14B_2-Vienna_ABHD14B_5,ABHD14B,-4.997484257607147
245,Vienna_ABHD14B_3-Vienna_ABHD14B_6,ABHD14B,-0.8727876836149091
246,Vienna_ABHD15_1-Vienna_ABHD15_4,ABHD15,-1.3756263268320985
247,Vienna_ABHD15_2-Vienna_ABHD15_5,ABHD15,-2.225872936385515
248,Vienna_ABHD15_3-Vienna_ABHD15_6,ABHD15,-1.1962639260858876
249,Vienna_ABHD16A_1-Vienna_ABHD16A_4,ABHD16A,-1.4898238469102958
250,Vienna_ABHD16A_2-Vienna_ABHD16A_5,ABHD16A,0.6189440626471812
251,Vienna_ABHD16A_3-Vienna_ABHD16A_6,ABHD16A,0.18240687846281395
252,Vienna_ABHD16B_1-Vienna_ABHD16B_4,ABHD16B,-1.2081933361355137
253,Vienna_ABHD16B_2-Vienna_ABHD16B_5,ABHD16B,-1.5669036839171953
254,Vienna_ABHD16B_3-Vienna_ABHD16B_6,ABHD16B,-2.0309801412692616
255,Vienna_ABHD17A_1-Vienna_ABHD17A_4,ABHD17A,-9.191830363551713
256,Vienna_ABHD17A_2-Vienna_ABHD17A_5,ABHD17A,-9.660951153577015
257,Vienna_ABHD17A_3-Vienna_ABHD17A_6,ABHD17A,-5.118832202893576
258,Vienna_ABHD17B_1-Vienna_ABHD17B_4,ABHD17B,-1.7590554946486578
259,Vienna_ABHD17B_2-Vienna_ABHD17B_5,ABHD17B,-2.0643422665969484
260,Vienna_ABHD17B_3-Vienna_ABHD17B_6,ABHD17B,-0.15597685504435133
261,Vienna_ABHD17C_1-Vienna_ABHD17C_4,ABHD17C,-0.7402963290620281
262,Vienna_ABHD17C_2-Vienna_ABHD17C_5,ABHD17C,-1.3340679511950804
263,Vienna_ABHD17C_3-Vienna_ABHD17C_6,ABHD17C,0.04611302746867718
264,Vienna_ABHD18_1-Vienna_ABHD18_4,ABHD18,-0.7406928422875793
265,Vienna_ABHD18_2-Vienna_ABHD18_5,ABHD18,-0.5546454089869097
266,Vienna_ABHD18_3-Vienna_ABHD18_6,ABHD18,-0.9660440403736729
267,Vienna_ABHD2_1-Vienna_ABHD2_4,ABHD2,-2.8236583553966272
268,Vienna_ABHD2_2-Vienna_ABHD2_5,ABHD2,0.17352874680407004
269,Vienna_ABHD2_3-Vienna_ABHD2_6,ABHD2,-0.22293359871341195
270,Vienna_ABHD3_1-Vienna_ABHD3_4,ABHD3,-3.2645681487598917
271,Vienna_ABHD3_2-Vienna_ABHD3_5,ABHD3,-4.794426482898446
272,Vienna_ABHD3_3-Vienna_ABHD3_6,ABHD3,-1.3476741100994092
273,Vienna_ABHD4_1-Vienna_ABHD4_4,ABHD4,-1.502799256111139
274,Vienna_ABHD4_2-Vienna_ABHD4_5,ABHD4,-2.895938856102708
275,Vienna_ABHD4_3-Vienna_ABHD4_6,ABHD4,-3.6147885735704635
276,Vienna_ABHD5_1-Vienna_ABHD5_4,ABHD5,-0.6620639136750531
277,Vienna_ABHD5_2-Vienna_ABHD5_5,ABHD5,-4.414709279899372
278,Vienna_ABHD5_3-Vienna_ABHD5_6,ABHD5,-4.2888475963456125
279,Vienna_ABHD6_1-Vienna_ABHD6_4,ABHD6,-0.987715692614902
280,Vienna_ABHD6_2-Vienna_ABHD6_5,ABHD6,-1.818638731826105
281,Vienna_ABHD6_3-Vienna_ABHD6_6,ABHD6,-0.13738659073058002
282,Vienna_ABHD8_1-Vienna_ABHD8_4,ABHD8,-3.066080899299928
283,Vienna_ABHD8_2-Vienna_ABHD8_5,ABHD8,-4.287946215500253
284,Vienna_ABHD8_3-Vienna_ABHD8_6,ABHD8,-4.565445179803424
285,Vienna_ABI1_1-Vienna_ABI1_4,ABI1,-3.6336916613064085
286,Vienna_ABI1_2-Vienna_ABI1_5,ABI1,-1.5373929253989658
287,Vienna_ABI1_3-Vienna_ABI1_6,ABI1,-1.4022121788767112
288,Vienna_ABI2_1-Vienna_ABI2_4,ABI2,-2.3006825462748304
289,Vienna_ABI2_2-Vienna_ABI2_5,ABI2,-0.7985518995014276
290,Vienna_ABI2_3-Vienna_ABI2_6,ABI2,-0.43170553727190314
291,Vienna_ABI3_1-Vienna_ABI3_4,ABI3,-2.3225526512338277
292,Vienna_ABI3_2-Vienna_ABI3_5,ABI3,-2.2789267007606795
293,Vienna_ABI3_3-Vienna_ABI3_6,ABI3,-3.2325743089005656
294,Vienna_ABI3BP_1-Vienna_ABI3BP_4,ABI3BP,-1.84929710592066
295,Vienna_ABI3BP_2-Vienna_ABI3BP_5,ABI3BP,-3.277757710548918
296,Vienna_ABI3BP_3-Vienna_ABI3BP_6,ABI3BP,-1.6295469110913472
297,Vienna_ABL1_1-Vienna_ABL1_4,ABL1,-2.5388500985841955
298,Vienna_ABL1_2-Vienna_ABL1_5,ABL1,-2.5309758974024072
299,Vienna_ABL1_3-Vienna_ABL1_6,ABL1,-3.457918780692832
300,Vienna_ABL2_2-Vienna_ABL2_5,ABL2,-2.3585428258380072
301,Vienna_ABLIM1_1-Vienna_ABLIM1_4,ABLIM1,-1.365598896337923
302,Vienna_ABLIM1_2-Vienna_ABLIM1_5,ABLIM1,-0.46382639328150194
303,Vienna_ABLIM1_3-Vienna_ABLIM1_6,ABLIM1,-1.281987021010284
304,Vienna_ABLIM2_1-Vienna_ABLIM2_4,ABLIM2,-9.729254892015655
305,Vienna_ABLIM2_2-Vienna_ABLIM2_5,ABLIM2,-6.107808767454286
306,Vienna_ABLIM2_3-Vienna_ABLIM2_6,ABLIM2,0.07234229934439046
307,Vienna_ABLIM3_1-Vienna_ABLIM3_4,ABLIM3,-1.119614078559982
308,Vienna_ABLIM3_2-Vienna_ABLIM3_5,ABLIM3,-2.579102095333928
309,Vienna_ABLIM3_3-Vienna_ABLIM3_6,ABLIM3,-2.3570540026349174
310,Vienna_ABO_1-Vienna_ABO_4,ABO,-6.701575151093058
311,Vienna_ABO_2-Vienna_ABO_5,ABO,-3.1719085827912936
312,Vienna_ABO_3-Vienna_ABO_6,ABO,-0.6699513842383286
313,Vienna_ABR_1-Vienna_ABR_4,ABR,-0.8782837328343279
314,Vienna_ABR_2-Vienna_ABR_5,ABR,-5.426804903618352
315,Vienna_ABR_3-Vienna_ABR_6,ABR,-5.8795221307592325
316,Vienna_ABRA_1-Vienna_ABRA_4,ABRA,-1.0994646442188931
317,Vienna_ABRA_2-Vienna_ABRA_5,ABRA,-0.859910959384363
318,Vienna_ABRA_3-Vienna_ABRA_6,ABRA,-0.3726127719562554
319,Vienna_ABRACL_1-Vienna_ABRACL_4,ABRACL,-4.002763638711659
320,Vienna_ABRACL_2-Vienna_ABRACL_5,ABRACL,-0.2963151235846664
321,Vienna_ABRACL_3-Vienna_ABRACL_6,ABRACL,0.35820119282373036
322,Vienna_ABT1_1-Vienna_ABT1_4,ABT1,-8.888254041086256
323,Vienna_ABT1_2-Vienna_ABT1_5,ABT1,-6.649686919245272
