sgRNA	gene	vienna_v1_single_top3	TECHDEV0012_Vienna_01_01_17	TECHDEV0012_Vienna_01_01_16
Vienna-GAL3ST1-3	GAL3ST1	131	774	708
Vienna-GAL3ST2-1	GAL3ST2	89	448	380
Vienna-GAL3ST2-2	GAL3ST2	81	685	552
Vienna-GAL3ST2-3	GAL3ST2	81	132	352
Vienna-GAL3ST3-1	GAL3ST3	81	460	563
Vienna-GAL3ST3-2	GAL3ST3	214	1146	752
Vienna-GAL3ST3-3	GAL3ST3	101	37	74
Vienna-GAL3ST4-1	GAL3ST4	52	305	320
Vienna-GAL3ST4-2	GAL3ST4	105	461	351
Vienna-GAL3ST4-3	GAL3ST4	40	81	57
Vienna-GALC-1	GALC	112	1253	1094
Vienna-GALC-2	GALC	65	534	297
Vienna-GALC-3	GALC	42	161	222
Vienna-GALE-1	GALE	118	135	207
Vienna-GALE-2	GALE	110	329	292
Vienna-GALE-3	GALE	32	210	163
Vienna-GALK1-1	GALK1	48	95	175
Vienna-GALK1-2	GALK1	155	1370	1213
Vienna-GALK1-3	GALK1	152	377	378
Vienna-GALK2-1	GALK2	59	217	369
Vienna-GALK2-2	GALK2	48	245	199
Vienna-GALK2-3	GALK2	56	231	240
Vienna-GALM-1	GALM	121	1110	640
Vienna-GALM-2	GALM	87	378	361
Vienna-GALM-3	GALM	96	621	219
Vienna-GALNS-1	GALNS	73	1179	1084
Vienna-GALNS-2	GALNS	76	921	495
Vienna-GALNS-3	GALNS	158	305	406
Vienna-GALNT1-1	GALNT1	55	691	301
Vienna-GALNT1-2	GALNT1	48	183	129
Vienna-GALNT1-3	GALNT1	27	158	46
Vienna-GALNT10-1	GALNT10	54	414	299
Vienna-GALNT10-2	GALNT10	206	2602	2229
Vienna-GALNT10-3	GALNT10	90	366	350
Vienna-GALNT11-1	GALNT11	112	615	552
Vienna-GALNT11-2	GALNT11	111	233	266
Vienna-GALNT11-3	GALNT11	70	2356	2080
Vienna-GALNT12-1	GALNT12	51	157	69
Vienna-GALNT12-2	GALNT12	119	1247	720
Vienna-GALNT12-3	GALNT12	55	87	109
Vienna-GALNT13-1	GALNT13	46	290	215
Vienna-GALNT13-2	GALNT13	77	1	2
Vienna-GALNT13-3	GALNT13	54	601	497
Vienna-GALNT14-1	GALNT14	85	432	192
Vienna-GALNT14-2	GALNT14	87	682	455
Vienna-GALNT14-3	GALNT14	66	851	571
Vienna-GALNT15-1	GALNT15	83	141	208
Vienna-GALNT15-2	GALNT15	66	269	510
Vienna-GALNT15-3	GALNT15	77	564	435
Vienna-GALNT16-1	GALNT16	167	1177	851
Vienna-GALNT16-2	GALNT16	54	276	458
Vienna-GALNT16-3	GALNT16	112	609	616
Vienna-GALNT18-1	GALNT18	89	486	469
Vienna-GALNT18-2	GALNT18	68	604	453
Vienna-GALNT18-3	GALNT18	77	807	651
Vienna-GALNT2-1	GALNT2	61	354	430
Vienna-GALNT2-2	GALNT2	106	338	286
Vienna-GALNT2-3	GALNT2	86	440	344
Vienna-GALNT3-1	GALNT3	121	395	536
Vienna-GALNT3-2	GALNT3	41	731	470
Vienna-GALNT3-3	GALNT3	64	375	398
Vienna-GALNT4-1	GALNT4	62	759	429
Vienna-GALNT4-2	GALNT4	92	381	141
Vienna-GALNT4-3	GALNT4	200	897	430
Vienna-GALNT5-1	GALNT5	38	261	42
Vienna-GALNT5-2	GALNT5	53	385	236
Vienna-GALNT5-3	GALNT5	45	181	122
Vienna-GALNT6-1	GALNT6	48	763	473
Vienna-GALNT6-2	GALNT6	49	481	317
Vienna-GALNT6-3	GALNT6	91	375	226
Vienna-GALNT7-1	GALNT7	90	915	715
Vienna-GALNT7-2	GALNT7	90	456	244
Vienna-GALNT7-3	GALNT7	38	207	157
Vienna-GALNT8-1	GALNT8	62	447	456
Vienna-GALNT8-2	GALNT8	64	557	157
Vienna-GALNT8-3	GALNT8	67	523	369
Vienna-GALNT9-1	GALNT9	70	371	305
Vienna-GALNT9-2	GALNT9	61	450	349
Vienna-GALNT9-3	GALNT9	101	406	490
Vienna-GALNTL5-1	GALNTL5	50	7	11
Vienna-GALNTL5-2	GALNTL5	33	105	125
Vienna-GALNTL5-3	GALNTL5	89	391	293
Vienna-GALNTL6-1	GALNTL6	71	321	289
Vienna-GALNTL6-2	GALNTL6	124	657	584
Vienna-GALNTL6-3	GALNTL6	45	191	148
Vienna-GALP-1	GALP	63	488	457
Vienna-GALP-2	GALP	129	1275	1020
Vienna-GALP-3	GALP	51	83	90
Vienna-GALR1-1	GALR1	82	111	129
Vienna-GALR1-2	GALR1	187	1261	908
Vienna-GALR1-3	GALR1	115	1143	1261
Vienna-GALR2-1	GALR2	70	512	530
Vienna-GALR2-2	GALR2	81	1830	1299
Vienna-GALR2-3	GALR2	64	578	533
Vienna-GALR3-1	GALR3	142	964	611
Vienna-GALR3-2	GALR3	111	821	489
Vienna-GALR3-3	GALR3	171	1367	1368
Vienna-GALT-1	GALT	105	948	674
Vienna-GALT-2	GALT	74	455	481
Vienna-GALT-3	GALT	77	547	497
Vienna-GAMT-1	GAMT	87	470	315
Vienna-GAMT-2	GAMT	94	673	367
Vienna-GAMT-3	GAMT	111	258	156
Vienna-GAN-1	GAN	83	318	278
Vienna-GAN-2	GAN	89	1654	1083
Vienna-GAN-3	GAN	64	357	540
Vienna-GANAB-1	GANAB	104	448	213
Vienna-GANAB-2	GANAB	70	239	170
Vienna-GANAB-3	GANAB	45	177	77
Vienna-GANC-1	GANC	70	337	422
Vienna-GANC-2	GANC	63	459	340
Vienna-GANC-3	GANC	54	243	234
Vienna-GAP43-1	GAP43	60	444	136
Vienna-GAP43-2	GAP43	50	284	174
Vienna-GAP43-3	GAP43	47	287	565
Vienna-GAPDH-1	GAPDH	64	0	1
Vienna-GAPDH-2	GAPDH	97	0	0
Vienna-GAPDH-3	GAPDH	114	0	1
Vienna-GAPDHS-1	GAPDHS	91	314	219
Vienna-GAPDHS-2	GAPDHS	63	382	493
Vienna-GAPDHS-3	GAPDHS	102	1134	1114
Vienna-GAPT-1	GAPT	47	160	149
Vienna-GAPT-2	GAPT	37	338	328
Vienna-GAPT-3	GAPT	46	154	172
Vienna-GAPVD1-1	GAPVD1	84	553	582
Vienna-GAPVD1-2	GAPVD1	80	650	933
Vienna-GAPVD1-3	GAPVD1	69	447	635
Vienna-GAR1-1	GAR1	61	0	0
Vienna-GAR1-2	GAR1	98	313	328
Vienna-GAR1-3	GAR1	71	183	71
Vienna-GAREM1-1	GAREM1	122	521	726
Vienna-GAREM1-2	GAREM1	61	605	315
Vienna-GAREM1-3	GAREM1	79	547	342
Vienna-GAREM2-1	GAREM2	86	364	190
Vienna-GAREM2-2	GAREM2	53	590	350
Vienna-GAREM2-3	GAREM2	232	547	431
Vienna-GARNL3-1	GARNL3	82	449	187
Vienna-GARNL3-2	GARNL3	78	156	105
Vienna-GARNL3-3	GARNL3	54	274	388
Vienna-GARS-1	GARS	113	7	69
Vienna-GARS-2	GARS	92	14	35
Vienna-GARS-3	GARS	73	47	23
Vienna-GART-1	GART	94	116	31
Vienna-GART-2	GART	42	36	40
Vienna-GART-3	GART	56	123	17
Vienna-GAS1-1	GAS1	55	398	297
Vienna-GAS1-2	GAS1	153	1139	980
Vienna-GAS1-3	GAS1	34	220	197
Vienna-GAS2-1	GAS2	82	520	429
Vienna-GAS2-2	GAS2	198	308	311
Vienna-GAS2-3	GAS2	63	796	388
Vienna-GAS2L1-1	GAS2L1	79	467	351
Vienna-GAS2L1-2	GAS2L1	110	414	481
Vienna-GAS2L1-3	GAS2L1	53	165	152
Vienna-GAS2L2-1	GAS2L2	63	465	286
Vienna-GAS2L2-2	GAS2L2	124	1317	758
Vienna-GAS2L2-3	GAS2L2	83	228	243
Vienna-GAS2L3-1	GAS2L3	53	576	492
Vienna-GAS2L3-2	GAS2L3	48	261	298
Vienna-GAS2L3-3	GAS2L3	73	872	548
Vienna-GAS6-1	GAS6	113	1073	778
Vienna-GAS6-2	GAS6	59	335	305
Vienna-GAS6-3	GAS6	50	540	382
Vienna-GAS7-1	GAS7	60	305	468
Vienna-GAS7-2	GAS7	76	508	435
Vienna-GAS7-3	GAS7	128	1187	1120
Vienna-GAS8-1	GAS8	81	175	86
Vienna-GAS8-2	GAS8	85	435	224
Vienna-GAS8-3	GAS8	89	609	347
Vienna-GAST-1	GAST	116	303	238
Vienna-GAST-2	GAST	53	96	79
Vienna-GAST-3	GAST	82	222	127
Vienna-GATA1-1	GATA1	124	1247	1124
Vienna-GATA1-2	GATA1	99	700	615
Vienna-GATA1-3	GATA1	59	875	629
Vienna-GATA2-1	GATA2	57	51	93
Vienna-GATA2-2	GATA2	56	169	313
Vienna-GATA2-3	GATA2	99	473	633
Vienna-GATA3-1	GATA3	118	687	457
Vienna-GATA3-2	GATA3	113	1472	1208
Vienna-GATA3-3	GATA3	75	201	144
Vienna-GATA4-1	GATA4	153	1060	523
Vienna-GATA4-2	GATA4	158	555	310
Vienna-GATA4-3	GATA4	71	552	303
Vienna-GATA5-1	GATA5	95	570	268
Vienna-GATA5-2	GATA5	82	285	336
Vienna-GATA5-3	GATA5	114	781	650
Vienna-GATA6-1	GATA6	127	572	597
Vienna-GATA6-2	GATA6	62	216	342
Vienna-GATA6-3	GATA6	86	352	565
Vienna-GATAD1-1	GATAD1	67	374	284
Vienna-GATAD1-2	GATAD1	98	432	390
Vienna-GATAD1-3	GATAD1	52	473	439
Vienna-GATAD2A-1	GATAD2A	82	444	286
Vienna-GATAD2A-2	GATAD2A	104	627	758
Vienna-GATAD2A-3	GATAD2A	70	187	243
Vienna-GATAD2B-1	GATAD2B	77	203	303
Vienna-GATAD2B-2	GATAD2B	117	1022	707
Vienna-GATAD2B-3	GATAD2B	88	648	264
Vienna-GATB-1	GATB	59	28	35
Vienna-GATB-2	GATB	73	3	0
Vienna-GATB-3	GATB	109	72	19
Vienna-GATC-1	GATC	41	12	3
Vienna-GATC-2	GATC	303	596	197
Vienna-GATC-3	GATC	90	83	137
Vienna-GATM-1	GATM	29	66	88
Vienna-GATM-2	GATM	142	1340	1112
Vienna-GATM-3	GATM	64	648	452
Vienna-GATS-1	GATS	99	522	405
Vienna-GATS-2	GATS	59	564	466
Vienna-GATS-3	GATS	75	1033	683
Vienna-GATSL2-1	GATSL2	58	405	242
Vienna-GATSL2-2	GATSL2	44	720	517
Vienna-GATSL2-3	GATSL2	112	1208	762
Vienna-GATSL3-1	GATSL3	78	106	20
Vienna-GATSL3-2	GATSL3	25	12	37
Vienna-GATSL3-3	GATSL3	85	614	629
Vienna-GBA-1	GBA	82	130	116
Vienna-GBA-2	GBA	84	320	151
Vienna-GBA-3	GBA	119	557	503
Vienna-GBA2-1	GBA2	102	563	484
Vienna-GBA2-2	GBA2	105	1333	1117
Vienna-GBA2-3	GBA2	84	356	396
Vienna-GBA3-1	GBA3	98	484	371
Vienna-GBA3-2	GBA3	47	355	245
Vienna-GBA3-3	GBA3	36	258	110
Vienna-GBAS-1	GBAS	25	76	68
Vienna-GBAS-2	GBAS	72	9	37
Vienna-GBAS-3	GBAS	81	37	50
Vienna-GBE1-1	GBE1	60	65	125
Vienna-GBE1-2	GBE1	63	466	247
Vienna-GBE1-3	GBE1	47	672	510
Vienna-GBF1-1	GBF1	90	5	51
Vienna-GBF1-2	GBF1	43	20	11
Vienna-GBF1-3	GBF1	109	72	134
Vienna-GBGT1-1	GBGT1	44	126	54
Vienna-GBGT1-2	GBGT1	90	420	248
Vienna-GBGT1-3	GBGT1	52	312	447
Vienna-GBP1-1	GBP1	52	292	214
Vienna-GBP1-2	GBP1	49	290	274
Vienna-GBP1-3	GBP1	70	257	351
Vienna-GBP2-1	GBP2	104	390	323
Vienna-GBP2-2	GBP2	83	340	346
Vienna-GBP2-3	GBP2	47	338	169
Vienna-GBP3-1	GBP3	88	319	319
Vienna-GBP3-2	GBP3	35	407	122
Vienna-GBP3-3	GBP3	85	272	412
Vienna-GBP4-1	GBP4	88	71	68
Vienna-GBP4-2	GBP4	71	337	360
Vienna-GBP4-3	GBP4	82	221	239
Vienna-GBP5-1	GBP5	39	430	374
Vienna-GBP5-2	GBP5	68	256	281
Vienna-GBP5-3	GBP5	69	331	157
Vienna-GBP6-1	GBP6	72	230	155
Vienna-GBP6-2	GBP6	68	124	175
Vienna-GBP6-3	GBP6	77	462	285
Vienna-GBP7-1	GBP7	73	341	342
Vienna-GBP7-2	GBP7	106	372	154
Vienna-GBP7-3	GBP7	41	434	315
Vienna-GBX1-1	GBX1	131	2207	2093
Vienna-GBX1-2	GBX1	65	510	353
Vienna-GBX1-3	GBX1	68	243	537
Vienna-GBX2-1	GBX2	46	26	28
Vienna-GBX2-2	GBX2	5	32	53
Vienna-GBX2-3	GBX2	49	285	256
Vienna-GC-1	GC	47	367	251
Vienna-GC-2	GC	58	66	90
Vienna-GC-3	GC	67	641	673
Vienna-GCA-1	GCA	60	754	343
Vienna-GCA-2	GCA	104	1344	1190
Vienna-GCA-3	GCA	57	325	252
Vienna-GCAT-1	GCAT	60	472	387
Vienna-GCAT-2	GCAT	190	1792	1349
Vienna-GCAT-3	GCAT	108	136	149
Vienna-GCC1-1	GCC1	108	213	196
Vienna-GCC1-2	GCC1	64	316	300
Vienna-GCC1-3	GCC1	74	412	344
Vienna-GCC2-1	GCC2	50	483	579
Vienna-GCC2-2	GCC2	45	200	136
Vienna-GCC2-3	GCC2	43	207	128
Vienna-GCDH-1	GCDH	81	556	512
Vienna-GCDH-2	GCDH	109	242	312
Vienna-GCDH-3	GCDH	88	143	202
Vienna-GCFC2-1	GCFC2	77	659	408
Vienna-GCFC2-2	GCFC2	37	313	418
Vienna-GCFC2-3	GCFC2	72	507	570
Vienna-GCG-1	GCG	114	1322	855
Vienna-GCG-2	GCG	86	281	305
Vienna-GCG-3	GCG	50	194	62
Vienna-GCGR-1	GCGR	95	639	580
Vienna-GCGR-2	GCGR	62	667	307
Vienna-GCGR-3	GCGR	73	492	404
Vienna-GCH1-1	GCH1	69	253	94
Vienna-GCH1-2	GCH1	79	912	549
Vienna-GCH1-3	GCH1	136	1382	1106
Vienna-GCHFR-1	GCHFR	177	301	135
Vienna-GCHFR-2	GCHFR	67	293	425
Vienna-GCHFR-3	GCHFR	66	311	456
Vienna-GCK-1	GCK	59	309	185
Vienna-GCK-2	GCK	119	898	765
Vienna-GCK-3	GCK	183	1788	1500
Vienna-GCKR-1	GCKR	60	512	213
Vienna-GCKR-2	GCKR	92	151	338
Vienna-GCKR-3	GCKR	89	794	658
Vienna-GCLC-1	GCLC	67	329	263
Vienna-GCLC-2	GCLC	78	124	413
Vienna-GCLC-3	GCLC	91	626	550
Vienna-GCLM-1	GCLM	116	489	579
Vienna-GCLM-2	GCLM	69	78	132
Vienna-GCLM-3	GCLM	109	343	303
Vienna-GCM1-1	GCM1	163	1069	870
Vienna-GCM1-2	GCM1	46	1152	564
Vienna-GCM1-3	GCM1	129	943	730
Vienna-GCM2-1	GCM2	102	799	552
Vienna-GCM2-2	GCM2	108	711	661
Vienna-GCM2-3	GCM2	5	9	79
Vienna-GCN1-1	GCN1	184	371	203
Vienna-GCN1-2	GCN1	77	123	281
Vienna-GCN1-3	GCN1	87	245	99
Vienna-GCNT1-1	GCNT1	36	236	219
Vienna-GCNT1-2	GCNT1	79	316	333
Vienna-GCNT1-3	GCNT1	92	897	652
Vienna-GCNT2-1	GCNT2	57	159	125
Vienna-GCNT2-2	GCNT2	64	268	194
Vienna-GCNT2-3	GCNT2	65	455	270
Vienna-GCNT3-1	GCNT3	248	447	367
Vienna-GCNT3-2	GCNT3	125	465	526
Vienna-GCNT3-3	GCNT3	73	460	232
Vienna-GCNT4-1	GCNT4	60	205	187
Vienna-GCNT4-2	GCNT4	69	389	68
Vienna-GCNT4-3	GCNT4	63	494	410
Vienna-GCNT7-1	GCNT7	98	1151	833
Vienna-GCNT7-2	GCNT7	127	1602	818
Vienna-GCNT7-3	GCNT7	173	1037	1096
Vienna-GCSAM-1	GCSAM	68	1303	741
Vienna-GCSAM-2	GCSAM	48	635	458
Vienna-GCSAM-3	GCSAM	85	734	573
Vienna-GCSAML-1	GCSAML	49	827	552
Vienna-GCSAML-2	GCSAML	84	143	210
Vienna-GCSAML-3	GCSAML	58	363	289
Vienna-GCSH-1	GCSH	32	47	62
Vienna-GCSH-2	GCSH	120	103	108
Vienna-GCSH-3	GCSH	158	157	62
Vienna-GDA-1	GDA	138	0	7
Vienna-GDA-2	GDA	20	116	57
Vienna-GDA-3	GDA	88	157	171
Vienna-GDAP1-1	GDAP1	74	257	39
Vienna-GDAP1-2	GDAP1	56	2	3
Vienna-GDAP1-3	GDAP1	160	121	56
Vienna-GDAP1L1-1	GDAP1L1	44	279	118
Vienna-GDAP1L1-2	GDAP1L1	68	1299	453
Vienna-GDAP1L1-3	GDAP1L1	77	630	410
Vienna-GDAP2-1	GDAP2	50	258	154
Vienna-GDAP2-2	GDAP2	34	218	55
Vienna-GDAP2-3	GDAP2	28	109	233
Vienna-GDE1-1	GDE1	133	1536	855
Vienna-GDE1-2	GDE1	62	214	85
Vienna-GDE1-3	GDE1	58	202	300
Vienna-GDF1-1	GDF1	122	750	633
Vienna-GDF1-2	GDF1	207	939	947
Vienna-GDF1-3	GDF1	62	625	776
Vienna-GDF10-1	GDF10	67	311	373
Vienna-GDF10-2	GDF10	84	722	446
Vienna-GDF10-3	GDF10	80	295	383
Vienna-GDF11-1	GDF11	94	357	191
Vienna-GDF11-2	GDF11	89	589	614
Vienna-GDF11-3	GDF11	128	550	681
Vienna-GDF15-1	GDF15	94	856	777
Vienna-GDF15-2	GDF15	200	1067	1013
Vienna-GDF15-3	GDF15	81	231	222
Vienna-GDF2-1	GDF2	85	795	681
Vienna-GDF2-2	GDF2	58	624	602
Vienna-GDF2-3	GDF2	50	161	247
Vienna-GDF3-1	GDF3	200	580	431
Vienna-GDF3-2	GDF3	78	477	534
Vienna-GDF3-3	GDF3	121	307	285
Vienna-GDF5-1	GDF5	40	79	173
Vienna-GDF5-2	GDF5	82	217	183
Vienna-GDF5-3	GDF5	71	470	275
Vienna-GDF6-1	GDF6	139	824	859
Vienna-GDF6-2	GDF6	63	209	229
Vienna-GDF6-3	GDF6	82	652	520
Vienna-GDF7-1	GDF7	100	1058	1134
Vienna-GDF7-2	GDF7	89	1127	823
Vienna-GDF7-3	GDF7	160	2071	1724
Vienna-GDF9-1	GDF9	83	458	419
Vienna-GDF9-2	GDF9	56	429	279
Vienna-GDF9-3	GDF9	133	834	543
Vienna-GDI1-1	GDI1	91	159	213
Vienna-GDI1-2	GDI1	128	1221	955
Vienna-GDI1-3	GDI1	122	123	258
Vienna-GDI2-1	GDI2	52	483	347
Vienna-GDI2-2	GDI2	145	1367	999
Vienna-GDI2-3	GDI2	47	542	461
Vienna-GDNF-1	GDNF	99	432	499
Vienna-GDNF-2	GDNF	73	122	110
Vienna-GDNF-3	GDNF	91	850	693
Vienna-GDNF-AS1-1	GDNF-AS1	93	914	772
Vienna-GDNF-AS1-2	GDNF-AS1	25	117	107
Vienna-GDNF-AS1-3	GDNF-AS1	63	620	290
Vienna-GDPD1-1	GDPD1	53	405	284
Vienna-GDPD1-2	GDPD1	58	255	264
Vienna-GDPD1-3	GDPD1	29	290	362
Vienna-GDPD2-1	GDPD2	75	894	548
Vienna-GDPD2-2	GDPD2	54	153	157
Vienna-GDPD2-3	GDPD2	69	331	197
Vienna-GDPD3-1	GDPD3	105	13	0
Vienna-GDPD3-2	GDPD3	80	708	650
Vienna-GDPD3-3	GDPD3	112	1080	712
Vienna-GDPD4-1	GDPD4	63	359	275
Vienna-GDPD4-2	GDPD4	76	511	271
Vienna-GDPD4-3	GDPD4	63	324	182
Vienna-GDPD5-1	GDPD5	47	234	149
Vienna-GDPD5-2	GDPD5	116	873	776
Vienna-GDPD5-3	GDPD5	51	0	0
Vienna-GDPGP1-1	GDPGP1	37	253	191
Vienna-GDPGP1-2	GDPGP1	87	349	259
Vienna-GDPGP1-3	GDPGP1	71	831	426
Vienna-GEM-1	GEM	134	791	589
Vienna-GEM-2	GEM	70	932	351
Vienna-GEM-3	GEM	92	1638	1101
Vienna-GEMIN2-1	GEMIN2	92	0	0
Vienna-GEMIN2-2	GEMIN2	16	15	8
Vienna-GEMIN2-3	GEMIN2	77	21	22
Vienna-GEMIN4-1	GEMIN4	93	5	0
Vienna-GEMIN4-2	GEMIN4	112	73	16
Vienna-GEMIN4-3	GEMIN4	109	22	31
Vienna-GEMIN5-1	GEMIN5	59	0	1
Vienna-GEMIN5-2	GEMIN5	90	99	42
Vienna-GEMIN5-3	GEMIN5	45	46	226
Vienna-GEMIN6-1	GEMIN6	32	13	0
Vienna-GEMIN6-2	GEMIN6	59	63	36
Vienna-GEMIN6-3	GEMIN6	83	80	30
Vienna-GEMIN7-1	GEMIN7	119	29	16
Vienna-GEMIN7-2	GEMIN7	184	99	94
Vienna-GEMIN7-3	GEMIN7	88	2	0
Vienna-GEMIN8-1	GEMIN8	63	148	68
Vienna-GEMIN8-2	GEMIN8	76	103	41
Vienna-GEMIN8-3	GEMIN8	78	0	9
Vienna-GEN1-1	GEN1	78	278	227
Vienna-GEN1-2	GEN1	55	250	120
Vienna-GEN1-3	GEN1	33	223	118
Vienna-GET4-1	GET4	96	439	358
Vienna-GET4-2	GET4	107	282	181
Vienna-GET4-3	GET4	70	604	603
Vienna-GFAP-1	GFAP	116	502	527
Vienna-GFAP-2	GFAP	103	338	525
Vienna-GFAP-3	GFAP	85	1057	875
Vienna-GFER-1	GFER	12	0	0
Vienna-GFER-2	GFER	133	11	0
Vienna-GFER-3	GFER	55	0	0
Vienna-GFI1-1	GFI1	110	339	632
Vienna-GFI1-2	GFI1	86	177	377
Vienna-GFI1-3	GFI1	88	48	91
Vienna-GFI1B-1	GFI1B	59	159	99
Vienna-GFI1B-2	GFI1B	132	1076	818
Vienna-GFI1B-3	GFI1B	123	1085	642
Vienna-GFM1-1	GFM1	47	0	0
Vienna-GFM1-2	GFM1	98	21	0
Vienna-GFM1-3	GFM1	44	9	12
Vienna-GFM2-1	GFM2	55	0	0
Vienna-GFM2-2	GFM2	55	0	0
Vienna-GFM2-3	GFM2	54	0	0
Vienna-GFOD1-1	GFOD1	79	1484	1122
Vienna-GFOD1-2	GFOD1	74	596	404
Vienna-GFOD1-3	GFOD1	63	550	409
Vienna-GFOD2-1	GFOD2	56	118	91
Vienna-GFOD2-2	GFOD2	111	652	319
Vienna-GFOD2-3	GFOD2	108	93	61
Vienna-GFPT1-1	GFPT1	40	44	1
Vienna-GFPT1-2	GFPT1	77	93	88
Vienna-GFPT1-3	GFPT1	66	142	39
Vienna-GFPT2-1	GFPT2	68	234	269
Vienna-GFPT2-2	GFPT2	61	365	273
Vienna-GFPT2-3	GFPT2	80	232	212
Vienna-GFRA1-1	GFRA1	90	745	653
Vienna-GFRA1-2	GFRA1	88	882	623
Vienna-GFRA1-3	GFRA1	82	595	353
Vienna-GFRA2-1	GFRA2	95	538	710
Vienna-GFRA2-2	GFRA2	162	822	785
Vienna-GFRA2-3	GFRA2	53	308	187
Vienna-GFRA3-1	GFRA3	59	461	427
Vienna-GFRA3-2	GFRA3	33	272	352
Vienna-GFRA3-3	GFRA3	101	900	689
Vienna-GFRA4-1	GFRA4	73	521	315
Vienna-GFRA4-2	GFRA4	121	441	326
Vienna-GFRA4-3	GFRA4	123	794	713
Vienna-GFRAL-1	GFRAL	89	920	738
Vienna-GFRAL-2	GFRAL	51	282	84
Vienna-GFRAL-3	GFRAL	62	852	753
Vienna-GFY-1	GFY	141	980	681
Vienna-GFY-2	GFY	26	271	210
Vienna-GFY-3	GFY	102	984	610
Vienna-GGA1-1	GGA1	119	1163	949
Vienna-GGA1-2	GGA1	86	419	489
Vienna-GGA1-3	GGA1	117	742	339
Vienna-GGA2-1	GGA2	86	565	237
Vienna-GGA2-2	GGA2	163	936	806
Vienna-GGA2-3	GGA2	65	322	504
Vienna-GGA3-1	GGA3	54	329	178
Vienna-GGA3-2	GGA3	64	448	290
Vienna-GGA3-3	GGA3	151	414	338
Vienna-GGACT-1	GGACT	77	589	474
Vienna-GGACT-2	GGACT	163	1143	800
Vienna-GGACT-3	GGACT	78	1460	849
Vienna-GGCT-1	GGCT	76	372	187
Vienna-GGCT-2	GGCT	89	224	179
Vienna-GGCT-3	GGCT	128	1718	1299
Vienna-GGCX-1	GGCX	72	239	78
Vienna-GGCX-2	GGCX	47	817	560
Vienna-GGCX-3	GGCX	72	702	115
Vienna-GGH-1	GGH	58	471	423
Vienna-GGH-2	GGH	110	1504	1227
Vienna-GGH-3	GGH	102	614	383
Vienna-GGN-1	GGN	81	235	273
Vienna-GGN-2	GGN	69	136	222
Vienna-GGN-3	GGN	87	253	173
Vienna-GGNBP2-1	GGNBP2	107	384	305
Vienna-GGNBP2-2	GGNBP2	96	292	301
Vienna-GGNBP2-3	GGNBP2	101	349	448
Vienna-GGPS1-1	GGPS1	89	65	60
Vienna-GGPS1-2	GGPS1	90	24	45
Vienna-GGPS1-3	GGPS1	74	0	0
Vienna-GGT1-1	GGT1	108	412	429
Vienna-GGT1-2	GGT1	165	798	456
Vienna-GGT1-3	GGT1	47	72	71
Vienna-GGT5-1	GGT5	179	2	33
Vienna-GGT5-2	GGT5	22	206	204
Vienna-GGT5-3	GGT5	83	923	575
Vienna-GGT6-1	GGT6	125	1136	699
Vienna-GGT6-2	GGT6	80	237	141
Vienna-GGT6-3	GGT6	110	503	421
Vienna-GGT7-1	GGT7	45	414	389
Vienna-GGT7-2	GGT7	141	20	4
Vienna-GGT7-3	GGT7	75	72	132
Vienna-GGTLC1-1	GGTLC1	127	765	563
Vienna-GGTLC1-2	GGTLC1	93	327	541
Vienna-GGTLC1-3	GGTLC1	137	262	182
Vienna-GGTLC2-1	GGTLC2	160	1082	970
Vienna-GGTLC2-2	GGTLC2	262	1729	1293
Vienna-GGTLC2-3	GGTLC2	262	1728	1293
Vienna-GH1-1	GH1	71	490	500
Vienna-GH1-2	GH1	102	554	438
Vienna-GH1-3	GH1	92	973	622
Vienna-GH2-1	GH2	72	635	505
Vienna-GH2-2	GH2	78	1082	585
Vienna-GH2-3	GH2	139	798	482
Vienna-GHDC-1	GHDC	60	281	419
Vienna-GHDC-2	GHDC	93	417	459
Vienna-GHDC-3	GHDC	66	292	112
Vienna-GHITM-1	GHITM	74	247	220
Vienna-GHITM-2	GHITM	45	429	349
Vienna-GHITM-3	GHITM	72	382	382
Vienna-GHR-1	GHR	33	287	307
Vienna-GHR-2	GHR	55	246	471
Vienna-GHR-3	GHR	43	862	512
Vienna-GHRH-1	GHRH	61	174	169
Vienna-GHRH-2	GHRH	105	1955	1549
Vienna-GHRH-3	GHRH	124	1276	773
Vienna-GHRHR-1	GHRHR	81	451	266
Vienna-GHRHR-2	GHRHR	122	563	595
Vienna-GHRHR-3	GHRHR	107	1097	677
Vienna-GHRL-1	GHRL	48	86	96
Vienna-GHRL-2	GHRL	62	598	463
Vienna-GHRL-3	GHRL	80	753	578
Vienna-GHSR-1	GHSR	63	286	463
Vienna-GHSR-2	GHSR	84	727	661
Vienna-GHSR-3	GHSR	243	1348	1075
Vienna-GID4-1	GID4	80	450	304
Vienna-GID4-2	GID4	49	330	182
Vienna-GID4-3	GID4	114	336	185
Vienna-GID8-1	GID8	51	154	29
Vienna-GID8-2	GID8	80	19	12
Vienna-GID8-3	GID8	85	95	41
Vienna-GIF-1	GIF	223	710	422
Vienna-GIF-2	GIF	58	239	302
Vienna-GIF-3	GIF	69	454	398
Vienna-GIGYF1-1	GIGYF1	91	804	157
Vienna-GIGYF1-2	GIGYF1	169	245	143
Vienna-GIGYF1-3	GIGYF1	78	436	608
Vienna-GIGYF2-1	GIGYF2	23	48	33
