Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
MRPS17,Brunello A375,4,-3.6853932676741175,2.7773168503126925e-05,0.00025831405627003073
MRPS16,Brunello A375,4,-5.199465816976171,7.864320557702899e-19,1.311098185284988e-17
MRPS15,Brunello A375,4,-1.6502365461617667,0.05881246736389523,0.22674572125933118
MRPS14,Brunello A375,4,-5.634839001268188,1.5821957264721275e-25,3.355674239039662e-24
MRPS12,Brunello A375,4,-5.378820176141635,1.9558835501776947e-21,3.5980648227229986e-20
MRPS24,Brunello A375,5,-4.343512861100754,2.3574495136582737e-09,2.7432379519672285e-08
MRPL30,Brunello A375,4,-5.585969982904246,1.0337774694540853e-24,2.1465842344772154e-23
MRPL3,Brunello A375,4,-3.749680346880499,1.4505410362381482e-05,0.00013711929486583786
MRPL28,Brunello A375,4,-4.514018161378788,7.419061326774332e-11,9.133786388453654e-10
MRM1,Brunello A375,4,-1.1702612611701242,0.1322107572524283,0.34553159344228407
MRLN,Brunello A375,4,0.04453487928662525,0.4976655835177968,0.49980308708324145
MRI1,Brunello A375,4,-0.08524362132562,0.4485978750997135,0.4907976896736835
MRGPRX4,Brunello A375,4,0.7963149659498144,0.23001691191263607,0.416982854065029
MRGPRX3,Brunello A375,4,1.859367212289798,0.03442293877422971,0.15818688933307018
MRGPRX2,Brunello A375,4,2.009578926662151,0.024481520636145344,0.12247235353585958
MRGPRX1,Brunello A375,4,-0.12619099877249573,0.43341901781252634,0.4877077384860694
MRGPRG-AS1,Brunello A375,3,0.7501237493627618,0.24444807650286685,0.42612408237357885
MRGPRG,Brunello A375,4,1.0401782495785445,0.16156542542501026,0.3718506904195535
MRGPRF,Brunello A375,4,0.6056293578354336,0.29227556181151054,0.44565987813127916
MRGPRE,Brunello A375,4,-0.5398599377584788,0.2911123999615121,0.4450707000434547
MRGPRD,Brunello A375,4,-1.937526034460964,0.03257343462163727,0.151751652650646
MRM2,Brunello A375,3,-1.8968083793286798,0.035516267615574235,0.1617602157075765
MRGBP,Brunello A375,4,-4.668309489321101,2.2234348240777052e-12,2.9297520550830105e-11
MRFAP1,Brunello A375,4,-0.23075232413553304,0.3954616787550771,0.47838955106664655
MREG,Brunello A375,4,-0.24959286686368198,0.3887527384524507,0.4764322009920297
MRE11,Brunello A375,4,-4.543151908937428,3.932745613398791e-11,4.917350074061013e-10
MRC2,Brunello A375,4,1.190943218164485,0.12636159926022242,0.33866804188195776
MRC1,Brunello A375,4,0.39480830847611986,0.36821672697064933,0.47003602806008526
MRAS,Brunello A375,4,-0.9943582553812531,0.16832937177583773,0.37809142925273453
MRAP2,Brunello A375,4,0.72189104313278,0.25348059291749747,0.430603783008623
MRAP-AS1,Brunello A375,2,-0.6326104115777096,0.26262410758150617,0.434745486984713
MRAP,Brunello A375,4,-0.0690367395424506,0.4546503189713828,0.49255218263554396
MR1,Brunello A375,4,-1.111965180088172,0.14355164053845784,0.35736302009217374
MPZL3,Brunello A375,4,0.17830750991213523,0.45084047636915187,0.4913449945850691
MPZL2,Brunello A375,4,0.006595530032443703,0.483192359315033,0.49645927051400385
MRFAP1L1,Brunello A375,4,-1.2914715110901156,0.11041128604957678,0.32048626721839174
MRM3,Brunello A375,4,-0.7085590095736288,0.24051799912285196,0.42333283899416785
MRNIP,Brunello A375,4,-1.5278583957594796,0.07417741630692563,0.26026965434118227
MRO,Brunello A375,4,-0.6162579004809141,0.26753248153770876,0.43647932234762127
MRPL27,Brunello A375,4,-4.15169367636179,6.88113057312538e-08,7.487908091236749e-07
MRPL24,Brunello A375,4,-4.840108050762659,2.923175981443686e-14,4.1829160570782203e-13
MRPL23,Brunello A375,4,-2.5677830822476473,0.006940340739191992,0.0429508415882298
MRPL22,Brunello A375,4,-3.894570204140722,2.7377145687513203e-06,2.711132285456448e-05
MRPL21,Brunello A375,4,-4.542947117954121,3.950507989199382e-11,4.936592746143083e-10
MRPL20,Brunello A375,4,-6.010025113827618,2.538119509757912e-32,6.527579050682709e-31
MRPL2,Brunello A375,4,-4.102034602893212,1.5092383540020345e-07,1.6144582618697341e-06
MRPL19,Brunello A375,4,-4.087325064360002,1.8915131616599353e-07,2.0130344164448396e-06
MRPL18,Brunello A375,4,-5.0577862072891175,6.316740245953214e-17,9.979202548010824e-16
MRPL17,Brunello A375,4,-5.267626541861222,8.538079795669975e-20,1.465703698256679e-18
MRPL16,Brunello A375,4,-3.884872003067083,3.088623233753034e-06,3.049923825413651e-05
MRPL15,Brunello A375,4,-6.418344555615854,8.495691759907555e-41,2.8101965462104386e-39
MRPL14,Brunello A375,4,-4.346432171207014,2.230050150476636e-09,2.597896048757945e-08
MRPL13,Brunello A375,4,-6.274288654964126,1.1169227008397489e-37,3.348514944333115e-36
MRPL12,Brunello A375,4,-4.504395212127489,9.123797147055337e-11,1.1179606798682765e-09
MRPL11,Brunello A375,4,-6.515913281468631,5.45832971246049e-43,1.9379864845981733e-41
MRPL10,Brunello A375,4,-3.1754213238691933,0.0008782119141986118,0.00651643262725261
MRPL1,Brunello A375,4,-1.2512086582009867,0.11739925228259535,0.3289356321731431
MROH9,Brunello A375,4,0.49272969238493014,0.33216781743098023,0.45948887446946485
MROH8,Brunello A375,4,0.1469247830882687,0.4629524208405062,0.4938031857506875
MROH7-TTC4,Brunello A375,8,-2.5546350553475277,0.007205133932787716,0.0442082030685878
MROH7,Brunello A375,4,-0.15656200874462592,0.4222711962116979,0.48481364635994445
MROH6,Brunello A375,4,0.27841537280931317,0.4123151901143672,0.48212504939183765
MROH5,Brunello A375,4,0.6516196352047946,0.27663185694442405,0.4399298643725206
MROH2B,Brunello A375,4,0.4151126741195277,0.360648532034794,0.46903986537153136
MROH2A,Brunello A375,4,1.5775745285823182,0.061779476891428785,0.2334514704328128
MROH1,Brunello A375,4,0.1533364511344667,0.4604781165543454,0.49358862842749807
